,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,very infertile,-,-,
1,Salinity,1.05,brackish,-,-,
2,Shade,1.1,none,-,-,
3,Altitude: 2. minimum recorded (m),1.13,0,-,-,
4,Altitude: 4. typical minimum (m),1.14,0,-,-,
5,Status,2.01,native,-,-,
6,Typical abundance where naturally occurring,2.02,scattered,-,-,
7,First historical record: 1. date,2.04,1688,-,-,
8,First historical record: 2. site,2.05,Somerset,-,-,
9,Range: 3. continents where native,2.11,Africa,-,-,
10,Range: 3. continents where native,2.11,Europe,-,-,
11,SN Index,2.13,1.1,-,-,
12,EW Index,2.14,7.21,-,-,
13,number of European countries in which native,2.17,23,-,-,
14,Stems: 1. woodiness,3.01,non-woody,-,-,
15,Stems: 2. support,3.02,self-supporting,-,-,
16,Height: 3. typical maximum (cm),3.05,150,-,-,
17,Height: 4. typical minimum (cm),3.06,50,-,-,
18,Spread,3.07,height > width,-,-,
19,Heterophylly,3.08,not applicable,no leaves,-,
20,Leaf shape: 1. type,3.09,absent,-,-,
21,Leaf shape: 2. outline,3.1,not applicable,no leaves,-,
22,Leaf shape: 3. pointed/round,3.11,not applicable,no leaves,-,
23,Leaf shape: 4. length versus breadth,3.12,not applicable,no leaves,-,
24,Leaf shape: 5. leaf base,3.13,not applicable,no leaves,-,
25,Leaf shape: 6. petiole,3.14,not applicable,no leaves,-,
26,Leaf shape: 7. minimum petiole length (mm),3.15,not applicable,no leaves,-,
27,Leaf shape: 8. maximum petiole length (mm),3.16,not applicable,no leaves,-,
28,Stomata: 1. surfaces present,3.19,both,-,-,
29,Photosynthetic pathway,4.02,C3,-,-,
30,Heavy metal resistance,4.05,none,-,-,
31,Carnivory,4.06,does not kill insects,-,-,
32,Nutrition,4.07,autotrophic,-,-,
33,Life-form,5.01,helophyte,-,-,
34,Life-form,5.01,hemicryptophyte,-,-,
35,Longevity of stems (yrs),5.02,<1,-,-,
36,Vegetative reproduction/persistence: 2. pattern,5.06,patch-forming,-,-,
37,Flowering time: 1. earliest month,5.07,8,-,-,
38,Flowering time: 2. latest month,5.08,9,-,-,
39,Pollen vector,5.15,wind,-,-,
40,Dicliny,5.16,hermaphrodite,-,-,
41,Dispersule size - length of longest axis (mm),5.3,1.0,nut,-,
42,Seed size - length of longest axis (mm),5.31,1.0,nut,-,
43,Seed weight: 3. mean (mg),5.34,1.112,,,
44,Seedbank type,5.53,short-term persistent,-,-,
45,Seedbank type,5.53,transient,-,-,
46,Maximum seedbank density (m2),5.54,7521,-,-,
47,Minimum seedbank density (m2),5.55,7521,-,-,
48,Mean seedbank density (m2),5.56,7521,-,-,
49,Flower colour,5.58,brown,straw,,
50,Petal no,5.59,0,,,
51,Petal (sepal) size (cm),5.6,0,,,
52,Stigma number,5.61,3,,,
53,Stamen number,5.62,3,,,
54,Sepal number,5.63,0,,,
55,Carpel/Style number,5.64,1,,,
56,Inflorescence type,5.65,spikes,,"apparently lateral, several, globular, spikelets numerous",
57,"Glume, upper",5.66,0.25,,,
58,Conservation Status,7.01,Vulnerable,,,
59,Rarity Status,7.02,Rare,,,
60,Change Index,7.03,0.21,,,
61,Biome,7.04,Southern Temperate,,,
62,Eastern Limit,7.05,Euro-Siberian,,,
63,Continentality,7.06,Not continental,,,
64,Northern Limit in Britain,7.07,No,,,
65,"Northern European Limit (Lat,5C band)",7.08,>65,,,
66,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
67,Southern European Limit,7.1,No,,,
68,January mean temperature,7.11,5.2,,,
69,July mean temperature,7.12,16,,,
70,Annual precipitation,7.13,909,,,
71,Ellenberg Indicator: Light,7.14,8,,,
72,Ellenberg Indicator: Light,7.14,8,,Data calculated for the Czech Republic,
73,Ellenberg Indicator: Light,7.14,8,,Data calculated for Europe,
74,Ellenberg : Moisture,7.15,7,,Data calculated for the Czech Republic,
75,Ellenberg : Moisture,7.15,8,,,
76,Ellenberg : Moisture,7.15,8~,,Data calculated for Europe,
77,Ellenberg: pH,7.16,7,,,
78,Ellenberg: pH,7.16,7,,Data calculated for the Czech Republic,
79,Ellenberg: pH,7.16,7,,Data calculated for Europe,
80,Ellenberg Indicator: Nitrogen,7.17,4,,Data calculated for the Czech Republic,
81,Ellenberg Indicator: Nitrogen,7.17,6,,,
82,Ellenberg Indicator: Nitrogen,7.17,8,,Data calculated for Europe,
83,Ellenberg Indicator: Salt,7.18,0,,,
84,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
85,Ellenberg Indicator: Salt,7.18,3,,Data calculated for the Czech Republic,
86,Life Form: normal state,7.19,Hemicryptophyte,,,
87,Clonality: normal state,7.21,Tussock forming graminoid,,,
88,Ellenberg: Temperature,7.23,6,,Data calculated for the Czech Republic,
89,Ellenberg: Temperature,7.23,6,,Data calculated for Europe,
90,Ellenberg: Continetality,7.24,,,Data calculated for Europe,
