,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,infertile,-,-,
1,Shade,1.1,light,,-,
2,Shade,1.1,none,-,-,
3,Altitude: 1. maximum recorded (m),1.12,585,-,-,
4,Status,2.01,native,-,-,
5,Typical abundance where naturally occurring,2.02,scattered,-,-,
6,First historical record: 1. date,2.04,1634,-,-,
7,Range: 3. continents where native,2.11,Africa,-,-,
8,Range: 3. continents where native,2.11,Asia,-,-,
9,Range: 3. continents where native,2.11,Europe,-,-,
10,SN Index,2.13,4.03,-,-,
11,EW Index,2.14,5.11,-,-,
12,number of European countries in which native,2.17,27,-,-,
13,Stems: 1. woodiness,3.01,non-woody,-,-,
14,Stems: 2. support,3.02,self-supporting,-,-,
15,Height: 1. extreme maximum (cm),3.03,30,-,-,
16,Height: 3. typical maximum (cm),3.05,15,-,-,
17,Height: 4. typical minimum (cm),3.06,3,-,-,
18,Spread,3.07,height = width,-,-,
19,Heterophylly,3.08,none,-,-,
20,Leaf shape: 1. type,3.09,simple,-,-,
21,Leaf shape: 2. outline,3.1,entire,-,-,
22,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
23,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
24,Leaf shape: 5. leaf base,3.13,parallel-sided,-,-,
25,Leaf shape: 6. petiole,3.14,sessile,-,-,
26,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
27,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
28,Leaf longevity: 1. type,3.22,evergreen,-,-,
29,Photosynthetic pathway,4.02,C3,-,-,
30,Heavy metal resistance,4.05,none,-,-,
31,Carnivory,4.06,does not kill insects,-,-,
32,Nutrition,4.07,autotrophic,-,-,
33,Life-form,5.01,helophyte,-,-,
34,Life-form,5.01,therophyte,-,-,
35,Longevity of stems (yrs),5.02,<1,-,-,
36,Flowering time: 1. earliest month,5.07,5,-,-,
37,Flowering time: 2. latest month,5.08,7,-,-,
38,Pollen vector,5.15,wind,-,-,
39,Dicliny,5.16,hermaphrodite,-,-,
40,Chromosome number(s): 1. number,5.25,28,,-,
41,Dispersule size - length of longest axis (mm),5.3,0.9,nut,-,
42,Seed size - length of longest axis (mm),5.31,0.9,nut,-,
43,Seed weight: 3. mean (mg),5.34,0.05,,,
44,Seed weight: 3. mean (mg),5.34,0.0702,,,
45,Dispersal agent,5.38,unspecialised,-,-,
46,Time of germination (season),5.39,spring,late,-,
47,After-ripening requirement,5.4,none,-,-,
48,Seedbank type,5.53,long-term persistent,-,-,
49,Seedbank type,5.53,"seedbank present, type uncertain",-,-,
50,Seedbank type,5.53,short-term persistent,-,-,
51,Seedbank type,5.53,transient,-,-,
52,Maximum seedbank density (m2),5.54,1636,-,-,
53,Minimum seedbank density (m2),5.55,26,-,-,
54,Mean seedbank density (m2),5.56,246,-,-,
55,Petal no,5.59,0,,,
56,Petal no,5.59,purple brown,"green, hyaline margin",glumes,
57,Stigma number,5.61,3,,,
58,Stamen number,5.62,2,,,
59,Sepal number,5.63,0,,,
60,Carpel/Style number,5.64,1,,,
61,Inflorescence type,5.65,spike,,"apparently lateral, 1-3 spikelets",
62,"Glume, upper",5.66,0.125,,,
63,Rarity Status,7.02,Present,,,
64,Change Index,7.03,0.53,,,
65,Biome,7.04,Temperate,,,
66,Eastern Limit,7.05,Euro-Siberian,,,
67,Continentality,7.06,Not continental,,,
68,Northern Limit in Britain,7.07,Yes,,,
69,"Northern European Limit (Lat,5C band)",7.08,60-65,,,
70,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
71,Southern European Limit,7.1,No,,,
72,January mean temperature,7.11,3.5,,,
73,July mean temperature,7.12,14,,,
74,Annual precipitation,7.13,1149,,,
75,Ellenberg Indicator: Light,7.14,6,,Data calculated for Europe,
76,Ellenberg Indicator: Light,7.14,7,,,
77,Ellenberg Indicator: Light,7.14,7,,Data calculated for the Czech Republic,
78,Ellenberg : Moisture,7.15,8,,Data calculated for the Czech Republic,
79,Ellenberg : Moisture,7.15,9,,,
80,Ellenberg : Moisture,7.15,9,,Data calculated for Europe,
81,Ellenberg: pH,7.16,4,,Data calculated for the Czech Republic,
82,Ellenberg: pH,7.16,5,,,
83,Ellenberg: pH,7.16,5,,Data calculated for Europe,
84,Ellenberg Indicator: Nitrogen,7.17,3,,,
85,Ellenberg Indicator: Nitrogen,7.17,3,,Data calculated for the Czech Republic,
86,Ellenberg Indicator: Nitrogen,7.17,3,,Data calculated for Europe,
87,Ellenberg Indicator: Salt,7.18,0,,,
88,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
89,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
90,Life Form: normal state,7.19,Therophyte,,,
91,Life Form: less frequent state,7.2,Hemicryptophyte,,,
92,Clonality: normal state,7.21,Little or no vegetative spread,,,
93,Ellenberg: Temperature,7.23,5,,Data calculated for the Czech Republic,
94,Ellenberg: Temperature,7.23,5,,Data calculated for Europe,
95,Ellenberg: Continetality,7.24,2,,Data calculated for Europe,
