,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,-,
1,Salinity,1.05,brackish,,-,
2,Shade,1.1,none,,-,
3,Status,2.01,native,-,-,
4,Typical abundance where naturally occurring,2.02,scattered,-,-,
5,First historical record: 1. date,2.04,1666,-,-,
6,First historical record: 2. site,2.05,"Westminster, London",-,-,
7,Range: 3. continents where native,2.11,Asia,-,-,
8,Range: 3. continents where native,2.11,Europe,-,-,
9,SN Index,2.13,.9,-,-,
10,EW Index,2.14,1.5,-,-,
11,number of European countries in which native,2.17,19,-,-,
12,Stems: 1. woodiness,3.01,non-woody,-,-,
13,Stems: 2. support,3.02,self-supporting,-,-,
14,Height: 3. typical maximum (cm),3.05,150,-,-,
15,Height: 4. typical minimum (cm),3.06,50,-,-,
16,Spread,3.07,height > width,-,-,
17,Heterophylly,3.08,not applicable,no leaves,-,
18,Leaf shape: 1. type,3.09,absent,-,-,
19,Leaf shape: 2. outline,3.1,not applicable,no leaves,-,
20,Leaf shape: 3. pointed/round,3.11,not applicable,no leaves,-,
21,Leaf shape: 4. length versus breadth,3.12,not applicable,no leaves,-,
22,Leaf shape: 5. leaf base,3.13,not applicable,no leaves,-,
23,Leaf shape: 6. petiole,3.14,not applicable,no leaves,-,
24,Leaf shape: 7. minimum petiole length (mm),3.15,not applicable,no leaves,-,
25,Leaf shape: 8. maximum petiole length (mm),3.16,not applicable,no leaves,-,
26,Stomata: 1. surfaces present,3.19,both,predominantly on lower surface,-,
27,Photosynthetic pathway,4.02,C3,-,-,
28,Heavy metal resistance,4.05,none,-,-,
29,Carnivory,4.06,does not kill insects,-,-,
30,Nutrition,4.07,autotrophic,-,-,
31,Life-form,5.01,helophyte,-,-,
32,Vegetative reproduction/persistence: 1. method,5.05,rhizomes,-,-,
33,Flowering time: 1. earliest month,5.07,8,-,-,
34,Flowering time: 2. latest month,5.08,9,-,-,
35,Pollen vector,5.15,wind,-,-,
36,Dicliny,5.16,hermaphrodite,-,-,
37,Chromosome number(s): 1. number,5.25,40,,-,
38,Dispersule size - length of longest axis (mm),5.3,2.5,nut,-,
39,Seed size - length of longest axis (mm),5.31,2.5,nut,-,
40,Seed weight: 3. mean (mg),5.34,1.27,,,
41,Seed weight: 3. mean (mg),5.34,1.472,,,
42,Flower colour,5.58,red-brown,,,
43,Petal no,5.59,6,,bristles,
44,Petal (sepal) size (cm),5.6,0,,,
45,Stigma number,5.61,2,,,
46,Stamen number,5.62,3,,,
47,Sepal number,5.63,0,,,
48,Carpel/Style number,5.64,0,,,
49,Inflorescence type,5.65,dense head,,,
50,"Glume, upper",5.66,0.4,,,
51,Physical defences on leaves,6.02,glabrous,-,-,
52,Conservation Status,7.01,Critically Endangered,,,
53,Rarity Status,7.02,Rare,,,
54,Biome,7.04,Temperate,,,
55,Eastern Limit,7.05,Eurasian,,,
56,Continentality,7.06,Not continental,,,
57,Northern Limit in Britain,7.07,No,,,
58,Southern European Limit,7.1,No Data,,,
59,January mean temperature,7.11,4.7,,,
60,July mean temperature,7.12,16.5,,,
61,Annual precipitation,7.13,799,,,
62,Ellenberg Indicator: Light,7.14,8,,,
63,Ellenberg : Moisture,7.15,10,,,
64,Ellenberg: pH,7.16,7,,,
65,Ellenberg Indicator: Nitrogen,7.17,7,,,
66,Ellenberg Indicator: Salt,7.18,3,,,
67,Life Form: normal state,7.19,Perennial hydrophyte,,,
68,Clonality: normal state,7.21,Rhizome shortly creeping,,,
