,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,very infertile,-,-,
1,Shade,1.1,none,-,-,
2,Altitude: 1. maximum recorded (m),1.12,213,-,-,
3,Status,2.01,native,-,-,
4,Typical abundance where naturally occurring,2.02,scattered,-,-,
5,First historical record: 1. date,2.04,1677,-,-,
6,First historical record: 2. site,2.05,"Eldon, Suffolk",-,-,
7,Range: 3. continents where native,2.11,Asia,-,-,
8,Range: 3. continents where native,2.11,Europe,-,-,
9,SN Index,2.13,2.24,-,-,
10,EW Index,2.14,2.23,-,-,
11,number of European countries in which native,2.17,24,-,-,
12,Stems: 1. woodiness,3.01,woody at base,-,-,
13,Stems: 2. support,3.02,decumbent,-,-,
14,Stems: 2. support,3.02,self-supporting,-,-,
15,Height: 3. typical maximum (cm),3.05,20,-,-,
16,Spread,3.07,height = width,-,-,
17,Heterophylly,3.08,none,-,-,
18,Leaf shape: 1. type,3.09,simple,-,-,
19,Leaf shape: 2. outline,3.1,entire,-,-,
20,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
21,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
22,Leaf shape: 5. leaf base,3.13,parallel-sided,-,-,
23,Leaf shape: 6. petiole,3.14,connate,-,-,
24,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
25,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
26,Photosynthetic pathway,4.02,C3,-,-,
27,Heavy metal resistance,4.05,none,-,-,
28,Carnivory,4.06,does not kill insects,-,-,
29,Nutrition,4.07,autotrophic,-,-,
30,Life-form,5.01,chamaephyte,-,-,
31,Flowering time: 1. earliest month,5.07,6,-,-,
32,Flowering time: 2. latest month,5.08,8,-,-,
33,Pollen: 2. diameter (um),5.13,37,-,-,
34,Pollen vector,5.15,insect,-,-,
35,Dicliny,5.16,gynodioecious,,-,
36,Dicliny,5.16,hermaphrodite,-,-,
37,Dichogamy,5.17,homogamous,-,-,
38,Fertilization,5.19,cross or automatic self,-,-,
39,Incompatibility systems,5.22,none,-,-,
40,Chromosome number(s): 1. number,5.25,44,-,-,
41,Seed weight: 3. mean (mg),5.34,1.8251,,,
42,Flower colour,5.58,green,,,
43,Petal no,5.59,0,,,
44,Petal (sepal) size (cm),5.6,0,,,
45,Stigma number,5.61,2,,,
46,Stamen number,5.62,10,,,
47,Sepal number,5.63,5,,,
48,Carpel/Style number,5.64,2,,,
49,Inflorescence type,5.65,cyme,,"terminal and axillary, dense",
50,Physical defences on leaves,6.02,soft hairs,at the base of the leaf,-,
51,Conservation Status,7.01,Endangered,,,
52,Rarity Status,7.02,Rare,,,
53,Change Index,7.03,-0.11,,,
54,Biome,7.04,Temperate,,,
55,Eastern Limit,7.05,European,,,
56,Continentality,7.06,Not continental,,,
57,Northern Limit in Britain,7.07,No,,,
58,Southern European Limit,7.1,No Data,,,
59,January mean temperature,7.11,3.3,,,
60,July mean temperature,7.12,16,,,
61,Annual precipitation,7.13,656,,,
62,Ellenberg Indicator: Light,7.14,8,,,
63,Ellenberg Indicator: Light,7.14,8,,Data calculated for the Czech Republic,
64,Ellenberg Indicator: Light,7.14,8,,Data calculated for Europe,
65,Ellenberg : Moisture,7.15,2,,Data calculated for the Czech Republic,
66,Ellenberg : Moisture,7.15,2,,Data calculated for Europe,
67,Ellenberg : Moisture,7.15,3,,,
68,Ellenberg: pH,7.16,4,,,
69,Ellenberg: pH,7.16,4,,Data calculated for the Czech Republic,
70,Ellenberg: pH,7.16,4,,Data calculated for Europe,
71,Ellenberg Indicator: Nitrogen,7.17,1,,Data calculated for Europe,
72,Ellenberg Indicator: Nitrogen,7.17,2,,,
73,Ellenberg Indicator: Nitrogen,7.17,2,,Data calculated for the Czech Republic,
74,Ellenberg Indicator: Salt,7.18,0,,,
75,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
76,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
77,Life Form: normal state,7.19,Chamaephyte,,,
78,Clonality: normal state,7.21,Little or no vegetative spread,,,
79,Ellenberg: Temperature,7.23,5,,Data calculated for the Czech Republic,
80,Ellenberg: Temperature,7.23,6,,Data calculated for Europe,
81,Ellenberg: Continetality,7.24,4,,Data calculated for Europe,
