,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,-,
1,Soil nutrients,1.01,infertile,-,-,
2,Soil nutrients,1.01,very infertile,-,-,
3,Soil pH: 1. extreme maximum,1.06,7.48,-,-,
4,Water pH: 1. extreme maximum,1.06A,7,-,-,
5,Soil pH: 2. extreme minimum,1.07,4.85,-,-,
6,Water pH: 2. extreme minimum,1.07A,4.48,-,-,
7,Soil pH: 3. typical maximum,1.08,6.64,-,-,
8,Water pH: 3. typical maximum,1.08A,6.54,-,-,
9,Soil pH: 4. typical minimum,1.09,5.32,-,-,
10,Water pH: 4. typical minimum,1.09A,5.26,-,-,
11,Shade,1.10,light,-,-,
12,Shade,1.10,mid,-,-,
13,Shade,1.10,none,-,-,
14,Altitude: 1. maximum recorded (m),1.12,365,-,-,
15,Altitude: 2. minimum recorded (m),1.13,0,-,-,
16,Altitude: 4. typical minimum (m),1.14,0,-,-,
17,Status,2.01,native,-,-,
18,Typical abundance where naturally occurring,2.02,frequent,-,-,
19,Dynamics,2.03,declining,-,-,
20,First historical record: 1. date,2.04,1576,-,-,
21,First historical record: 2. site,2.05,London,-,-,
22,Range: 3. continents where native,2.11,Africa,-,-,
23,Range: 3. continents where native,2.11,Asia,-,-,
24,Range: 3. continents where native,2.11,Europe,-,-,
25,Range: 3. continents where native,2.11,North America,-,-,
26,SN Index,2.13,3.34,-,-,
27,EW Index,2.14,4.65,-,-,
28,number of European countries in which native,2.17,27,-,-,
29,Medicinal Use,2.18,insomnia,,,
30,Stems: 1. woodiness,3.01,non-woody,-,-,
31,Stems: 2. support,3.02,self-supporting,-,-,
32,Height: 3. typical maximum (cm),3.05,50,-,-,
33,Height: 4. typical minimum (cm),3.06,15,-,-,
34,Spread,3.07,height > width,-,-,
35,Heterophylly,3.08,none,-,-,
36,Leaf shape: 1. type,3.09,simple,-,-,
37,Leaf shape: 2. outline,3.10,crenate,-,-,
38,Leaf shape: 3. pointed/round,3.11,rounded,-,-,
39,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
40,Leaf shape: 5. leaf base,3.13,cordate,-,-,
41,Leaf shape: 6. petiole,3.14,petiolate,-,-,
42,Leaf area (cm2),3.17,1-10,-,-,
43,Leaf longevity: 1. type,3.22,aestival,-,-,
44,Photosynthetic pathway,4.02,C3,-,-,
45,Heavy metal resistance,4.05,none,-,-,
46,Carnivory,4.06,does not kill insects,-,-,
47,Nutrition,4.07,autotrophic,-,-,
48,Life-form,5.01,hemicryptophyte,-,-,
49,Longevity of stems (yrs),5.02,<1,-,-,
50,Vegetative reproduction/persistence: 1. method,5.05,rhizomes,-,-,
51,Vegetative reproduction/persistence: 2. pattern,5.06,diffuse ramets,-,-,
52,Flowering time: 1. earliest month,5.07,6,-,-,
53,Flowering time: 2. latest month,5.08,9,-,-,
54,Pollen: 2. diameter (um),5.13,31,-,-,
55,Pollen vector,5.15,insect,-,-,
56,Dicliny,5.16,hermaphrodite,-,-,
57,Dichogamy,5.17,homogamous,-,-,
58,Fertilization,5.19,cross and self,-,-,
59,Incompatibility systems,5.22,none,-,-,
60,Chromosome number(s): 1. number,5.25,c.32,,-,
61,Seed weight: 3. mean (mg),5.34,0.70,-,-,
62,Seed weight: 3. mean (mg),5.34,0.75,,,
63,Dispersal agent,5.38,water,-,-,
64,Time of germination (season),5.39,spring,late,-,
65,Time of germination (season),5.39,summer,early,-,
66,Seedbank type,5.53,"seedbank present, type uncertain",-,-,
67,Seedbank type,5.53,transient,-,-,
68,Flower colour,5.58,blue,,,
69,Petal no,5.59,5,,fused,
70,Petal (sepal) size (cm),5.60,1.5,1-2,,
71,Stigma number,5.61,2,,,
72,Stamen number,5.62,4,,,
73,Sepal number,5.63,5,,fused,
74,Carpel/Style number,5.64,1,,,
75,Inflorescence type,5.65,whorl,,condensed cymes in axil of leaf pairs,
76,Physical defences on leaves,6.02,glabrous,-,-,
77,Physical defences on leaves,6.02,soft hairs,-,-,
78,Physical defences on stems,6.03,glabrous,-,-,
79,Physical defences on stems,6.03,soft hairs,-,-,
80,Rarity Status,7.02,Present,,,
81,Change Index,7.03,-0.39,,,
82,Biome,7.04,Boreo-Temperate,,,
83,Eastern Limit,7.05,Euro-Siberian,,,
84,Continentality,7.06,Not continental,,,
85,Northern Limit in Britain,7.07,No,,,
86,"Northern European Limit (Lat,5C band)",7.08,>65,,,
87,"Southern European Limit (Latitude, 5C band)",7.09,55-60,,,
88,Southern European Limit,7.10,Yes,,,
89,January mean temperature,7.11,3.6,,,
90,July mean temperature,7.12,15,,,
91,Annual precipitation,7.13,1055,,,
92,Ellenberg Indicator: Light,7.14,6,,Data calculated for the Czech Republic,
