,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,infertile,-,-,
1,Soil nutrients,1.01,very infertile,-,-,
2,Shade,1.1,light,-,-,
3,Shade,1.1,none,-,-,
4,Status,2.01,naturalised,-,-,
5,Dynamics,2.03,increasing,-,-,
6,Range: 3. continents where native,2.11,Europe,-,-,
7,SN Index,2.13,1.92,-,-,
8,EW Index,2.14,5.22,-,-,
9,number of European countries in which native,2.17,22,-,-,
10,Stems: 1. woodiness,3.01,non-woody,-,-,
11,Stems: 2. support,3.02,self-supporting,-,-,
12,Height: 3. typical maximum (cm),3.05,30,-,-,
13,Height: 4. typical minimum (cm),3.06,15,-,-,
14,Spread,3.07,height < width,-,-,
15,Heterophylly,3.08,none,-,-,
16,Leaf shape: 1. type,3.09,simple,-,-,
17,Leaf shape: 2. outline,3.1,entire,-,-,
18,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
19,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
20,Leaf shape: 5. leaf base,3.13,rounded,-,-,
21,Leaf shape: 6. petiole,3.14,sessile,-,-,
22,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
23,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
24,Leaf area (cm2),3.17,0.1-1,-,-,
25,Leaf longevity: 1. type,3.22,evergreen,-,-,
26,Heavy metal resistance,4.05,none,-,-,
27,Carnivory,4.06,does not kill insects,-,-,
28,Nutrition,4.07,autotrophic,-,-,
29,Life-form,5.01,chamaephyte,-,-,
30,Flowering time: 1. earliest month,5.07,6,-,-,
31,Flowering time: 2. latest month,5.08,8,-,-,
32,Pollen: 2. diameter (um),5.13,16,,,
33,Pollen vector,5.15,insect,-,-,
34,Dicliny,5.16,hermaphrodite,-,-,
35,Dichogamy,5.17,weakly protandrous,-,-,
36,Chromosome number(s): 1. number,5.25,108,,-,
37,2C DNA content (pg),5.26,2.07,,,
38,Seed weight: 3. mean (mg),5.34,0.0411,,,
39,Time of germination (season),5.39,spring,,-,
40,Seedbank type,5.53,transient,-,-,
41,Flower colour,5.58,yellow,,,
42,Petal no,5.59,6,5-9,,
43,Petal (sepal) size (cm),5.6,0.65,0.6-0.7,,
44,Stigma number,5.61,6,5-9,,
45,Stamen number,5.62,6,5-9,,
46,Sepal number,5.63,6,5-9,,
47,Carpel/Style number,5.64,6,5-9,,
48,Inflorescence type,5.65,cyme,,,
49,Physical defences on leaves,6.02,glabrous,-,-,
50,Physical defences on stems,6.03,glabrous,-,-,
51,Change Index,7.03,2.20,,,
52,Biome,7.04,Mediterranean,,,
53,Eastern Limit,7.05,Hyperoceanic,,,
54,Continentality,7.06,Not continental,,,
55,Northern Limit in Britain,7.07,No,,,
56,"Northern European Limit (Lat,5C band)",7.08,>65,,,
57,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
58,Southern European Limit,7.1,No,,,
59,January mean temperature,7.11,3.7,,,
60,July mean temperature,7.12,15.5,,,
61,Annual precipitation,7.13,905,,,
62,Ellenberg Indicator: Light,7.14,7,,,
63,Ellenberg Indicator: Light,7.14,7,,Data calculated for Europe,
64,Ellenberg Indicator: Light,7.14,8,,Data calculated for the Czech Republic,
65,Ellenberg : Moisture,7.15,2,,,
66,Ellenberg : Moisture,7.15,2,,Data calculated for the Czech Republic,
67,Ellenberg : Moisture,7.15,2,,Data calculated for Europe,
68,Ellenberg: pH,7.16,5,,,
69,Ellenberg: pH,7.16,5,,Data calculated for the Czech Republic,
70,Ellenberg: pH,7.16,5,,Data calculated for Europe,
71,Ellenberg Indicator: Nitrogen,7.17,1,,Data calculated for Europe,
72,Ellenberg Indicator: Nitrogen,7.17,2,,Data calculated for the Czech Republic,
73,Ellenberg Indicator: Nitrogen,7.17,4,,,
74,Ellenberg Indicator: Salt,7.18,0,,,
75,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
76,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
77,Life Form: normal state,7.19,Chamaephyte,,,
78,Clonality: normal state,7.21,Extensively creeping and rooting at nodes,,,
79,Clonality: less frequent state,7.22,Irregularly fragmenting (mainly water plants),,,
80,Ellenberg: Temperature,7.23,5,,Data calculated for Europe,
81,Ellenberg: Temperature,7.23,6,,Data calculated for the Czech Republic,
82,Ellenberg: Continetality,7.24,4,,Data calculated for Europe,
