,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,very infertile,-,-,
1,Soil moisture: 3. supply,1.04,continuous,-,-,
2,Shade,1.1,none,-,-,
3,Altitude: 1. maximum recorded (m),1.12,1097,-,-,
4,Altitude: 2. minimum recorded (m),1.13,30,-,-,
5,Status,2.01,native,-,-,
6,Typical abundance where naturally occurring,2.02,scattered,-,-,
7,First historical record: 1. date,2.04,1677,-,-,
8,First historical record: 2. site,2.05,"Ingleborough, Yorkshire",-,-,
9,Range: 3. continents where native,2.11,Africa,-,-,
10,Range: 3. continents where native,2.11,Europe,-,-,
11,SN Index,2.13,6.11,-,-,
12,EW Index,2.14,2.39,-,-,
13,British distribution (post 1949 records),2.15,99,-,-,
14,number of European countries in which native,2.17,18,-,-,
15,Stems: 1. woodiness,3.01,non-woody,-,-,
16,Stems: 2. support,3.02,self-supporting,-,-,
17,Height: 3. typical maximum (cm),3.05,15,-,-,
18,Height: 4. typical minimum (cm),3.06,5,-,-,
19,Spread,3.07,height < width,-,-,
20,Heterophylly,3.08,none,-,-,
21,Leaf shape: 1. type,3.09,simple,-,-,
22,Leaf shape: 2. outline,3.1,entire,-,-,
23,Leaf shape: 3. pointed/round,3.11,rounded,-,-,
24,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
25,Leaf shape: 5. leaf base,3.13,rounded,-,-,
26,Leaf shape: 6. petiole,3.14,sessile,-,-,
27,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
28,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
29,Leaf area (cm2),3.17,0.1-1,-,-,
30,Heavy metal resistance,4.05,none,-,-,
31,Carnivory,4.06,does not kill insects,-,-,
32,Nutrition,4.07,autotrophic,-,-,
33,Life-form,5.01,chamaephyte,-,-,
34,Flowering time: 1. earliest month,5.07,6,-,-,
35,Flowering time: 2. latest month,5.08,7,-,-,
36,Pollen vector,5.15,insect,-,-,
37,Dicliny,5.16,hermaphrodite,-,-,
38,Chromosome number(s): 1. number,5.25,30,,-,
39,Seed weight: 3. mean (mg),5.34,0.019,,,
40,Seed weight: 3. mean (mg),5.34,0.02,-,-,
41,Seed production: 3. typical range (/plant),5.37,100-1000,-,-,
42,Normal method of propagation,5.52,seed,-,-,
43,Flower colour,5.58,pink,,,
44,Petal no,5.59,5,,,
45,Petal (sepal) size (cm),5.6,0.425,0.35-0.5,,
46,Stigma number,5.61,5,,,
47,Stamen number,5.62,5,,,
48,Sepal number,5.63,5,,,
49,Carpel/Style number,5.64,5,,,
50,Inflorescence type,5.65,cyme,,,
51,Physical defences on leaves,6.02,glandular hairs,-,-,
52,Rarity Status,7.02,Scarce,,,
53,Change Index,7.03,-0.76,,,
54,Biome,7.04,Boreo-Arctic Montane,,,
55,Eastern Limit,7.05,European,,,
56,Continentality,7.06,Not continental,,,
57,Northern Limit in Britain,7.07,No,,,
58,Southern European Limit,7.1,No Data,,,
59,January mean temperature,7.11,1.6,,,
60,July mean temperature,7.12,13,,,
61,Annual precipitation,7.13,1273,,,
62,Ellenberg Indicator: Light,7.14,8,,,
63,Ellenberg Indicator: Light,7.14,9,,Data calculated for the Czech Republic,
64,Ellenberg Indicator: Light,7.14,9,,Data calculated for Europe,
65,Ellenberg : Moisture,7.15,9,,,
66,Ellenberg : Moisture,7.15,9,,Data calculated for the Czech Republic,
67,Ellenberg : Moisture,7.15,9,,Data calculated for Europe,
68,Ellenberg: pH,7.16,4,,Data calculated for the Czech Republic,
69,Ellenberg: pH,7.16,4,,Data calculated for Europe,
70,Ellenberg: pH,7.16,6,,,
71,Ellenberg Indicator: Nitrogen,7.17,1,,Data calculated for Europe,
72,Ellenberg Indicator: Nitrogen,7.17,2,,,
73,Ellenberg Indicator: Nitrogen,7.17,2,,Data calculated for the Czech Republic,
74,Ellenberg Indicator: Salt,7.18,0,,,
75,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
76,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
77,Life Form: normal state,7.19,Chamaephyte,,,
78,Clonality: normal state,7.21,Little or no vegetative spread,,,
79,Ellenberg: Temperature,7.23,5,,Data calculated for the Czech Republic,
80,Ellenberg: Temperature,7.23,5,,Data calculated for Europe,
81,Ellenberg: Continetality,7.24,2,,Data calculated for Europe,
