,Name,Number,Value,Modifier,Notes,Subspecies
0,Status,2.01,naturalised,-,-,
1,Dynamics,2.03,increasing,-,-,
2,Leaf shape: 2. outline,3.1,lobed,-,-,
3,Leaf shape: 6. petiole,3.14,petiolate,mostly,-,
4,Photosynthetic pathway,4.02,C3,-,-,
5,Heavy metal resistance,4.05,none,-,-,
6,Carnivory,4.06,does not kill insects,-,-,
7,Nutrition,4.07,autotrophic,-,-,
8,Chromosome number(s): 1. number,5.25,40,,-,
9,Seed weight: 3. mean (mg),5.34,0.4076,,,
10,Seed weight: 3. mean (mg),5.34,0.5068,,,
11,Flower colour,5.58,yellow,,disk florets,
12,Flower colour,5.58,yellow,,ray florets,
13,Petal no,5.59,5,many,flowers mistaken for petals,
14,Petal (sepal) size (cm),5.6,0.45,0.3-0.6,ray florets,
15,Stigma number,5.61,2,,,
16,Stamen number,5.62,5,,fused into a tube,
17,Sepal number,5.63,0,many,sepaloid phyllaries,
18,Carpel/Style number,5.64,1,,,
19,Inflorescence type,5.65,capitulum,,"large, dense, flat corymb",
20,Change Index,7.03,2.73,,,
21,Biome,7.04,Mediterranean,,,
22,Eastern Limit,7.05,European,,,
23,Continentality,7.06,Not continental,,,
24,Northern Limit in Britain,7.07,No,,,
25,Southern European Limit,7.1,No Data,,,
26,January mean temperature,7.11,4.4,,,
27,July mean temperature,7.12,16,,,
28,Annual precipitation,7.13,837,,,
29,Ellenberg Indicator: Light,7.14,9,,,
30,Ellenberg : Moisture,7.15,3,,,
31,Ellenberg: pH,7.16,7,,,
32,Ellenberg Indicator: Nitrogen,7.17,3,,,
33,Ellenberg Indicator: Salt,7.18,3,,,
34,Life Form: normal state,7.19,Chamaephyte,,,
35,Life Form: less frequent state,7.2,Nanophanerophyte,,,
36,Clonality: normal state,7.21,Little or no vegetative spread,,,
