,Name,Number,Value,Modifier,Notes,Subspecies
0,2C DNA content (pg),5.26,1.15,2n=20,,
1,2C DNA content (pg),5.26,2.15,2n=40,,
2,Seed weight: 3. mean (mg),5.34,0.2752,,,
3,Flower colour,5.58,yellow,,disk florets,
4,Flower colour,5.58,yellow,,ray florets,
5,Petal no,5.59,5,many,flowers mistaken for petals,
6,Petal (sepal) size (cm),5.6,0.65,0.5-0.8(-1),ray florets,
7,Stigma number,5.61,2,,,
8,Stamen number,5.62,5,,fused into a tube,
9,Sepal number,5.63,0,many,sepaloid phyllaries,
10,Carpel/Style number,5.64,1,,,
11,Inflorescence type,5.65,capitulum,,lax corymb,
12,Ellenberg Indicator: Light,7.14,8,,Data calculated for Europe,
13,Ellenberg Indicator: Light,7.14,9,,Data calculated for the Czech Republic,
14,Ellenberg : Moisture,7.15,3,,Data calculated for the Czech Republic,
15,Ellenberg : Moisture,7.15,3,,Data calculated for Europe,
16,Ellenberg: pH,7.16,6,,Data calculated for the Czech Republic,
17,Ellenberg: pH,7.16,7,,Data calculated for Europe,
18,Ellenberg Indicator: Nitrogen,7.17,3,,Data calculated for Europe,
19,Ellenberg Indicator: Nitrogen,7.17,4,,Data calculated for the Czech Republic,
20,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
21,Ellenberg Indicator: Salt,7.18,1,,Data calculated for the Czech Republic,
22,Ellenberg: Temperature,7.23,7,,Data calculated for the Czech Republic,
23,Ellenberg: Temperature,7.23,7,,Data calculated for Europe,
24,Ellenberg: Continetality,7.24,,,Data calculated for Europe,
