,Name,Number,Value,Modifier,Notes,Subspecies
0,Stems: 1. woodiness,3.01,non woody,,,
1,Heterophylly,3.08,none,,,
2,Leaf shape: 1. type,3.09,simple,,,
3,Leaf shape: 3. pointed/round,3.11,pointed,,,
4,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,,,
5,Leaf shape: 5. leaf base,3.13,parallel-sided,,,
6,Leaf shape: 6. petiole,3.14,sheathing,,,
7,Root system,3.24,fibrous,,,
8,Ligule,3.33,,,fringe of hairs,
9,Flower colour,5.58,green,"brown, purple, white",,
10,Petal no,5.59,0,,,
11,Petal (sepal) size (cm),5.6,0,,,
12,Stigma number,5.61,2,,,
13,Stamen number,5.62,3,,,
14,Sepal number,5.63,0,,,
15,Carpel/Style number,5.64,2,,,
16,Inflorescence type,5.65,spicate panicle,,linear or cylindric,
17,"Glume, upper",5.66,,,3 nerved,
18,"Glume, upper",5.66,,,4-7 nerved,
19,Ellenberg Indicator: Light,7.14,8,,Data calculated for the Czech Republic,
20,Ellenberg Indicator: Light,7.14,,,Data calculated for Europe,
21,Ellenberg : Moisture,7.15,4,,Data calculated for the Czech Republic,
22,Ellenberg : Moisture,7.15,,,Data calculated for Europe,
23,Ellenberg: pH,7.16,7,,Data calculated for the Czech Republic,
24,Ellenberg: pH,7.16,,,Data calculated for Europe,
25,Ellenberg Indicator: Nitrogen,7.17,7,,Data calculated for the Czech Republic,
26,Ellenberg Indicator: Nitrogen,7.17,,,Data calculated for Europe,
27,Ellenberg Indicator: Salt,7.18,1,,Data calculated for the Czech Republic,
28,Ellenberg Indicator: Salt,7.18,,,Data calculated for Europe,
29,Ellenberg: Temperature,7.23,9,,Data calculated for the Czech Republic,
30,Ellenberg: Temperature,7.23,,,Data calculated for Europe,
31,Ellenberg: Continetality,7.24,,,Data calculated for Europe,
