,Name,Number,Value,Modifier,Notes,Subspecies
0,Stems: 1. woodiness,3.01,non woody,,,
1,Heterophylly,3.08,none,,,
2,Leaf shape: 1. type,3.09,simple,,,
3,Leaf shape: 3. pointed/round,3.11,pointed,,,
4,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,,,
5,Leaf shape: 5. leaf base,3.13,parallel-sided,,,
6,Leaf shape: 6. petiole,3.14,sheathing,,,
7,Root system,3.24,fibrous,,,
8,Ligule,3.33,,,fringe of hairs,
9,2C DNA content (pg),5.26,1.05,,,
10,Seed weight: 3. mean (mg),5.34,2.3,,,
11,Flower colour,5.58,green,"brown, purple, white",,
12,Petal no,5.59,0,,,
13,Petal (sepal) size (cm),5.6,0,,,
14,Stigma number,5.61,2,,,
15,Stamen number,5.62,3,,,
16,Sepal number,5.63,0,,,
17,Carpel/Style number,5.64,2,,,
18,Inflorescence type,5.65,spicate panicle,,"linear or oblong, nodding",
19,"Glume, upper",5.66,0.178,0.133-0.225,"elliptic, obtuse or acute, 5-7 nerved",
20,Glume lower,5.67,0.08,0.06-0.1,"ovate, acute, 1-3 nerved",
21,Palea,5.68,0,,,
22,Lemma,5.69,0.25,0.2-0.3,"elliptic or oblong, gibbous, obtuse or acute, 5 nerved",
23,Ellenberg Indicator: Light,7.14,8,,Data calculated for the Czech Republic,
24,Ellenberg Indicator: Light,7.14,8,,Data calculated for Europe,
25,Ellenberg : Moisture,7.15,4,,Data calculated for the Czech Republic,
26,Ellenberg : Moisture,7.15,4,,Data calculated for Europe,
27,Ellenberg: pH,7.16,7,,Data calculated for the Czech Republic,
28,Ellenberg: pH,7.16,7,,Data calculated for Europe,
29,Ellenberg Indicator: Nitrogen,7.17,7,,Data calculated for the Czech Republic,
30,Ellenberg Indicator: Nitrogen,7.17,8,,Data calculated for Europe,
31,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
32,Ellenberg Indicator: Salt,7.18,1,,Data calculated for the Czech Republic,
33,Ellenberg: Temperature,7.23,8,,Data calculated for the Czech Republic,
34,Ellenberg: Temperature,7.23,8,,Data calculated for Europe,
35,Ellenberg: Continetality,7.24,5,,Data calculated for Europe,
