,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,infertile,-,-,
1,Soil nutrients,1.01,very infertile,-,-,
2,Soil pH: 3. typical maximum,1.08,6.5,-,-,
3,Soil pH: 4. typical minimum,1.09,4.1,-,-,
4,Shade,1.1,light,-,-,
5,Shade,1.1,mid,-,-,
6,Altitude: 1. maximum recorded (m),1.12,300,-,-,
7,Altitude: 1. maximum recorded (m),1.12,518,-,-,
8,Altitude: 2. minimum recorded (m),1.13,0,-,-,
9,Altitude: 4. typical minimum (m),1.14,0,-,-,
10,Altitude: 4. typical minimum (m),1.14,100,-,-,
11,Status,2.01,native,-,-,
12,Typical abundance where naturally occurring,2.02,scattered,-,-,
13,Dynamics,2.03,stable,-,-,
14,First historical record: 1. date,2.04,1677,-,-,
15,First historical record: 2. site,2.05,Devon & Cornwall,-,-,
16,Range: 3. continents where native,2.11,Europe,-,-,
17,SN Index,2.13,.52,-,-,
18,EW Index,2.14,8.83,-,-,
19,British distribution (post 1949 records),2.15,74,-,-,
20,number of European countries in which native,2.17,8,-,-,
21,Stems: 1. woodiness,3.01,woody,-,-,
22,Stems: 2. support,3.02,creeping,-,-,
23,Height: 3. typical maximum (cm),3.05,10,,,
24,Spread,3.07,height < width,-,-,
25,Heterophylly,3.08,none,-,-,
26,Leaf shape: 1. type,3.09,simple,-,-,
27,Leaf shape: 2. outline,3.1,lobed,-,-,
28,Leaf shape: 3. pointed/round,3.11,rounded,-,-,
29,Leaf shape: 4. length versus breadth,3.12,length = width,-,-,
30,Leaf shape: 5. leaf base,3.13,cordate,-,-,
31,Leaf shape: 6. petiole,3.14,petiolate,-,-,
32,Leaf area (cm2),3.17,1-10,-,-,
33,Stomata: 1. surfaces present,3.19,lower,-,-,
34,Stomata: 2. density on lower surface(no/mm2),3.2,100,range 96-128,-,
35,Stomata: 3. density on upper surface (no/mm2),3.21,0,-,-,
36,Leaf longevity: 1. type,3.22,evergreen,-,-,
37,Photosynthetic pathway,4.02,C3,-,-,
38,Heavy metal resistance,4.05,none,-,-,
39,Carnivory,4.06,does not kill insects,-,-,
40,Nutrition,4.07,autotrophic,-,-,
41,Response to frost (seedlings),4.1,sensitive,-,-,
42,Life-form,5.01,chamaephyte,-,-,
43,Vegetative reproduction/persistence: 1. method,5.05,rooting stems,-,-,
44,Vegetative reproduction/persistence: 2. pattern,5.06,diffuse ramets,-,-,
45,Flowering time: 1. earliest month,5.07,7,-,-,
46,Flowering time: 2. latest month,5.08,10,-,-,
47,Dicliny,5.16,hermaphrodite,-,-,
48,Fertilization,5.19,normally self,-,-,
49,Incompatibility systems,5.22,none,-,-,
50,Chromosome number(s): 1. number,5.25,18,-,-,
51,Normal method of propagation,5.52,seed and vegetative,-,-,
52,Flower colour,5.58,yellow,pink,,
53,Petal no,5.59,5,,fused,
54,Petal (sepal) size (cm),5.6,0.075,0.05-0.1,,
55,Stigma number,5.61,1,,,
56,Stamen number,5.62,4,,,
57,Sepal number,5.63,5,4,,
58,Carpel/Style number,5.64,1,,,
59,Inflorescence type,5.65,solitary,,axillary,
60,Physical defences on leaves,6.02,hairy,-,-,
61,Physical defences on stems,6.03,hairy,-,-,
62,Rarity Status,7.02,Scarce,,,
63,Change Index,7.03,-0.14,,,
64,Biome,7.04,Temperate,,,
65,Eastern Limit,7.05,Oceanic,,,
66,Continentality,7.06,Not continental,,,
67,Northern Limit in Britain,7.07,No,,,
68,"Northern European Limit (Lat,5C band)",7.08,>65,,,
69,"Southern European Limit (Latitude, 5C band)",7.09,45-50,,,
70,Southern European Limit,7.1,No,,,
71,January mean temperature,7.11,5.3,,,
72,July mean temperature,7.12,15.5,,,
73,Annual precipitation,7.13,1189,,,
74,Ellenberg Indicator: Light,7.14,5,,,
75,Ellenberg : Moisture,7.15,7,,,
76,Ellenberg: pH,7.16,5,,,
77,Ellenberg Indicator: Nitrogen,7.17,5,,,
78,Ellenberg Indicator: Salt,7.18,0,,,
79,Life Form: normal state,7.19,Chamaephyte,,,
80,Clonality: normal state,7.21,Extensively creeping and rooting at nodes,,,
