,Name,Number,Value,Modifier,Notes,Subspecies
0,Height: 3. typical maximum (cm),3.05,179.6,,,
1,Height: 3. typical maximum (cm),3.05,179.6,,,
2,Mean plant dry mass(mg),3.35,7400,,,
3,Mean plant dry mass(mg),3.35,7400,,,
4,Seed weight: 3. mean (mg),5.34,22.675,,,
5,Seed weight: 3. mean (mg),5.34,24.2,,,
6,Seed production: 3. typical range (/plant),5.37,1727,,,
7,Flower colour,5.58,purple,white,,
8,Petal no,5.59,5,many,flowers mistaken for petals,
9,Petal (sepal) size (cm),5.6,3.05,2.6-3.5,tubular,
10,Stigma number,5.61,2,,,
11,Stamen number,5.62,5,,fused into a tube,
12,Sepal number,5.63,0,many,sepaloid phyllaries,
13,Carpel/Style number,5.64,1,,,
14,Inflorescence type,5.65,capitulum,,solitary,
15,Ellenberg Indicator: Light,7.14,7,,Data calculated for the Czech Republic,
16,Ellenberg Indicator: Light,7.14,,,Data calculated for Europe,
17,Ellenberg : Moisture,7.15,4,,Data calculated for the Czech Republic,
18,Ellenberg : Moisture,7.15,,,Data calculated for Europe,
19,Ellenberg: pH,7.16,7,,Data calculated for the Czech Republic,
20,Ellenberg: pH,7.16,,,Data calculated for Europe,
21,Ellenberg Indicator: Nitrogen,7.17,7,,Data calculated for the Czech Republic,
22,Ellenberg Indicator: Nitrogen,7.17,,,Data calculated for Europe,
23,Ellenberg Indicator: Salt,7.18,1,,Data calculated for the Czech Republic,
24,Ellenberg Indicator: Salt,7.18,,,Data calculated for Europe,
25,Ellenberg: Temperature,7.23,7,,Data calculated for the Czech Republic,
26,Ellenberg: Temperature,7.23,,,Data calculated for Europe,
27,Ellenberg: Continetality,7.24,,,Data calculated for Europe,
