,Name,Number,Value,Modifier,Notes,Subspecies
0,Height: 3. typical maximum (cm),3.05,200,,,
1,Seed weight: 3. mean (mg),5.34,0.083,,,
2,Seed weight: 3. mean (mg),5.34,0.083,,,
3,Flower colour,5.58,yellow,,radiate,
4,Petal no,5.59,5,many,flowers mistaken for petals,
5,Petal (sepal) size (cm),5.6,0.13,(0.09-)0.1-0.16(-0.23),ray florets,
6,Petal (sepal) size (cm),5.6,0.27,0.2-0.35(-0.45),disc florets,
7,Stigma number,5.61,2,,,
8,Stamen number,5.62,5,,fused into a tube,
9,Sepal number,5.63,0,many,sepaloid phyllaries,
10,Carpel/Style number,5.64,1,,,
11,Inflorescence type,5.65,capitulum,,,
