,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,infertile,-,-,
1,Shade,1.1,light,-,-,
2,Shade,1.1,mid,-,-,
3,Shade,1.1,none,-,-,
4,Altitude: 1. maximum recorded (m),1.12,1005,-,-,
5,Altitude: 2. minimum recorded (m),1.13,0,-,-,
6,Altitude: 4. typical minimum (m),1.14,0,-,-,
7,Status,2.01,native,-,-,
8,Typical abundance where naturally occurring,2.02,scattered,-,-,
9,First historical record: 1. date,2.04,1570,-,-,
10,First historical record: 2. site,2.05,"Hampstead, London",-,-,
11,Range: 3. continents where native,2.11,Asia,-,-,
12,Range: 3. continents where native,2.11,Europe,-,-,
13,Range: 3. continents where native,2.11,North America,-,-,
14,SN Index,2.13,4.19,-,-,
15,EW Index,2.14,5.28,-,-,
16,number of European countries in which native,2.17,28,-,-,
17,Medicinal Use,2.18,colds,,,
18,Medicinal Use,2.18,fractures,,,
19,Medicinal Use,2.18,heart ailments,,,
20,Medicinal Use,2.18,kidney ailments,,,
21,Medicinal Use,2.18,stomach ache,,,
22,Medicinal Use,2.18,wounds,,,
23,Stems: 1. woodiness,3.01,non-woody,-,-,
24,Stems: 2. support,3.02,self-supporting,-,-,
25,Height: 3. typical maximum (cm),3.05,75,-,-,
26,Height: 4. typical minimum (cm),3.06,5,-,-,
27,Spread,3.07,height > width,-,-,
28,Heterophylly,3.08,none,-,-,
29,Leaf shape: 1. type,3.09,simple,-,-,
30,Leaf shape: 2. outline,3.1,toothed,-,-,
31,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
32,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
33,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
34,Leaf shape: 5. leaf base,3.13,cuneate,-,-,
35,Leaf shape: 6. petiole,3.14,petiolate,-,-,
36,Leaf shape: 6. petiole,3.14,sessile,-,-,
37,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
38,Leaf area (cm2),3.17,1-10,-,-,
39,Stomata: 1. surfaces present,3.19,both,-,-,
40,Stomata: 2. density on lower surface(no/mm2),3.2,78,range 48-143,-,
41,Stomata: 3. density on upper surface (no/mm2),3.21,80,range 35-96,-,
42,Leaf longevity: 1. type,3.22,aestival,-,-,
43,Photosynthetic pathway,4.02,C3,-,-,
44,Heavy metal resistance,4.05,none,-,-,
45,Carnivory,4.06,does not kill insects,-,-,
46,Nutrition,4.07,autotrophic,-,-,
47,Life-form,5.01,hemicryptophyte,-,-,
48,Longevity of stems (yrs),5.02,<1,-,-,
49,Mono/poly-carpic,5.04,polycarpic,-,-,
50,Vegetative reproduction/persistence: 1. method,5.05,branching root stock,-,-,
51,Vegetative reproduction/persistence: 2. pattern,5.06,patch-forming,-,-,
52,Flowering time: 1. earliest month,5.07,7,-,-,
53,Flowering time: 2. latest month,5.08,9,-,-,
54,Pollen: 2. diameter (um),5.13,24.3,,,
55,Pollen: 2. diameter (um),5.13,31,-,-,
56,Pollen vector,5.15,insect,-,-,
57,Dicliny,5.16,gynomonoecious,-,-,
58,Fertilization,5.19,cross or automatic self,-,-,
59,Incompatibility systems,5.22,none,-,-,
60,Chromosome number(s): 1. number,5.25,18,,-,
61,2C DNA content (pg),5.26,2.27,,,
62,Appendages on dispersal unit,5.27,pappus,-,-,
63,Time of seed dispersal (season),5.28,autumn,-,-,
64,Dispersule size - length of longest axis (mm),5.3,7.8,achene and pappus,-,
65,Seed size - length of longest axis (mm),5.31,2.8,dispersed with a pappus of hairs up to 5mm long,-,
66,Seed weight: 3. mean (mg),5.34,0.52,-,-,
67,Seed weight: 3. mean (mg),5.34,0.55,,,
68,Seed production: 1. maximum (/flower),5.35,35,achenes/capitulum,-,
69,Seed production: 2. typical range (/flower),5.36,10-100,achenes/capitulum,-,
70,Seed production: 3. typical range (/plant),5.37,1000-10000,-,-,
71,Dispersal agent,5.38,wind,-,-,
72,After-ripening requirement,5.4,none,-,-,
73,Germination type,5.48,epigeal,-,-,
74,Normal method of propagation,5.52,seed,-,-,
75,Seedbank type,5.53,short-term persistent,-,-,
76,Seedbank type,5.53,transient,-,-,
77,Flower colour,5.58,yellow,,radiate,
78,Petal no,5.59,5,many,flowers mistaken for petals,
79,Stigma number,5.61,2,,,
80,Stamen number,5.62,5,,fused into a tube,
81,Sepal number,5.63,0,many,sepaloid phyllaries,
82,Carpel/Style number,5.64,1,,,
83,Inflorescence type,5.65,capitulum,,,
84,Response to vertebrate grazing,6.01,decreases,-,-,
85,Physical defences on leaves,6.02,glabrous,-,-,
86,Physical defences on leaves,6.02,soft hairs,-,-,
87,Physical defences on stems,6.03,glabrous,-,-,
88,Physical defences on stems,6.03,soft hairs,-,-,
89,Physical defences on flowers/fruits,6.04,soft hairs,fruit,-,
90,Rarity Status,7.02,Present,,,
91,Change Index,7.03,-0.89,,,
92,Biome,7.04,Boreo-Temperate,,,
93,Eastern Limit,7.05,Eurasian,,,
94,Continentality,7.06,Not continental,,,
95,Northern Limit in Britain,7.07,No,,,
96,"Northern European Limit (Lat,5C band)",7.08,>65,,,
97,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
98,Southern European Limit,7.1,No,,,
99,January mean temperature,7.11,3.4,,,
100,July mean temperature,7.12,14,,,
101,Annual precipitation,7.13,1217,,,
102,Ellenberg Indicator: Light,7.14,5,,,
103,Ellenberg Indicator: Light,7.14,6,,Data calculated for the Czech Republic,
104,Ellenberg Indicator: Light,7.14,,,Data calculated for Europe,
105,Ellenberg : Moisture,7.15,5,,,
106,Ellenberg : Moisture,7.15,5,,Data calculated for the Czech Republic,
107,Ellenberg : Moisture,7.15,,,Data calculated for Europe,
108,Ellenberg: pH,7.16,4,,,
109,Ellenberg: pH,7.16,5x,,Data calculated for the Czech Republic,
110,Ellenberg: pH,7.16,,,Data calculated for Europe,
111,Ellenberg Indicator: Nitrogen,7.17,3,,,
112,Ellenberg Indicator: Nitrogen,7.17,4,,Data calculated for the Czech Republic,
113,Ellenberg Indicator: Nitrogen,7.17,,,Data calculated for Europe,
114,Ellenberg Indicator: Salt,7.18,0,,,
115,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
116,Ellenberg Indicator: Salt,7.18,,,Data calculated for Europe,
117,Life Form: normal state,7.19,Hemicryptophyte,,,
118,Clonality: normal state,7.21,Little or no vegetative spread,,,
119,Ellenberg: Temperature,7.23,5,,Data calculated for the Czech Republic,
120,Ellenberg: Temperature,7.23,,,Data calculated for Europe,
121,Ellenberg: Continetality,7.24,,,Data calculated for Europe,
