,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,very infertile,-,-,
1,Shade,1.1,none,-,-,
2,Status,2.01,native,-,-,
3,Range: 3. continents where native,2.11,Europe,-,-,
4,SN Index,2.13,0,-,-,
5,EW Index,2.14,10,-,-,
6,number of European countries in which native,2.17,14,-,-,
7,Stems: 1. woodiness,3.01,non-woody,-,-,
8,Stems: 2. support,3.02,decumbent,-,-,
9,Height: 3. typical maximum (cm),3.05,25,-,-,
10,Height: 4. typical minimum (cm),3.06,5,-,-,
11,Spread,3.07,height < width,-,-,
12,Heterophylly,3.08,none,-,-,
13,Leaf shape: 1. type,3.09,simple,-,-,
14,Leaf shape: 2. outline,3.1,entire,-,-,
15,Leaf shape: 3. pointed/round,3.11,mucronate,-,-,
16,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
17,Leaf shape: 5. leaf base,3.13,parallel-sided,-,-,
18,Leaf shape: 6. petiole,3.14,sessile,-,-,
19,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
20,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
21,Leaf area (cm2),3.17,0.1-1,-,-,
22,Root system,3.24,tap root,-,-,
23,Photosynthetic pathway,4.02,C3,-,-,
24,Heavy metal resistance,4.05,none,-,-,
25,Carnivory,4.06,does not kill insects,-,-,
26,Nutrition,4.07,autotrophic,-,-,
27,Life-form,5.01,therophyte,-,-,
28,Longevity of stems (yrs),5.02,<1,-,-,
29,Vegetative reproduction/persistence: 1. method,5.05,none,-,-,
30,Vegetative reproduction/persistence: 2. pattern,5.06,no ramets,-,-,
31,Flowering time: 1. earliest month,5.07,5,-,-,
32,Flowering time: 2. latest month,5.08,9,-,-,
33,Pollen vector,5.15,insect,-,-,
34,Dicliny,5.16,hermaphrodite,-,-,
35,Fertilization,5.19,normally self,-,-,
36,Incompatibility systems,5.22,none,-,-,
37,Chromosome number(s): 1. number,5.25,36,,-,
38,Dispersule size - length of longest axis (mm),5.3,0.5,seed,-,
39,Seed size - length of longest axis (mm),5.31,0.5,seed,-,
40,Seed weight: 3. mean (mg),5.34,0.047,,,
41,Seed production: 2. typical range (/flower),5.36,10-100,-,-,
42,Normal method of propagation,5.52,seed,-,-,
43,Flower colour,5.58,white,,,
44,Petal no,5.59,5,,,
45,Stigma number,5.61,3,,,
46,Sepal number,5.63,5,,,
47,Carpel/Style number,5.64,5,,,
48,Inflorescence type,5.65,cyme,,,
49,Physical defences on leaves,6.02,glandular,-,-,
50,Physical defences on stems,6.03,glandular,-,-,
