,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,infertile,-,-,
1,Salinity,1.05,salt-affected,-,-,
2,Shade,1.1,none,-,-,
3,Altitude: 1. maximum recorded (m),1.12,30,-,-,
4,Altitude: 2. minimum recorded (m),1.13,0,-,-,
5,Altitude: 4. typical minimum (m),1.14,0,-,-,
6,Status,2.01,native,-,-,
7,First historical record: 1. date,2.04,1629,-,-,
8,First historical record: 2. site,2.05,"Chatham, Kent",-,-,
9,Range: 3. continents where native,2.11,Europe,-,-,
10,SN Index,2.13,3.6,-,-,
11,EW Index,2.14,5.01,-,-,
12,number of European countries in which native,2.17,31,-,-,
13,Stems: 1. woodiness,3.01,non-woody,-,-,
14,Stems: 2. support,3.02,procumbent,-,-,
15,Height: 1. extreme maximum (cm),3.03,35,-,-,
16,Height: 2. extreme minimum (cm),3.04,2,-,-,
17,Height: 3. typical maximum (cm),3.05,20,-,-,
18,Spread,3.07,height < width,-,-,
19,Heterophylly,3.08,none,-,-,
20,Leaf shape: 1. type,3.09,simple,-,-,
21,Leaf shape: 2. outline,3.1,entire,-,-,
22,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
23,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
24,Leaf shape: 5. leaf base,3.13,parallel-sided,-,-,
25,Leaf shape: 6. petiole,3.14,sessile,-,-,
26,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
27,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
28,Leaf area (cm2),3.17,0.1-1,-,-,
29,Photosynthetic pathway,4.02,C3,-,-,
30,Heavy metal resistance,4.05,none,-,-,
31,Carnivory,4.06,does not kill insects,-,-,
32,Nutrition,4.07,autotrophic,-,-,
33,Life-form,5.01,therophyte,-,-,
34,Longevity of stems (yrs),5.02,<1,-,-,
35,Mono/poly-carpic,5.04,polycarpic,,-,
36,Vegetative reproduction/persistence: 1. method,5.05,none,-,-,
37,Vegetative reproduction/persistence: 2. pattern,5.06,no ramets,-,-,
38,Flowering time: 1. earliest month,5.07,6,-,-,
39,Flowering time: 2. latest month,5.08,9,-,-,
40,Pollen vector,5.15,insect,-,-,
41,Dicliny,5.16,gynodioecious,,-,
42,Dicliny,5.16,gynomonoecious,,-,
43,Dicliny,5.16,hermaphrodite,-,-,
44,Fertilization,5.19,normally self,-,-,
45,Inbreeding (%),5.21,98,,-,
46,Incompatibility systems,5.22,none,-,-,
47,Chromosome number(s): 1. number,5.25,36,,-,
48,Appendages on dispersal unit,5.27,wings,some populations,-,
49,Annual seed dispersal,5.29,irregular,,-,
50,Dispersule size - length of longest axis (mm),5.3,0.8,unbordered seeds,-,
51,Dispersule size - length of longest axis (mm),5.3,1.5,bordered seeds,-,
52,Seed size - length of longest axis (mm),5.31,0.8,unbordered seeds,-,
53,Seed size - length of longest axis (mm),5.31,1.5,bordered seeds,-,
54,Seed weight: 3. mean (mg),5.34,0.048,,,
55,Seed weight: 3. mean (mg),5.34,0.08,-,-,
56,Seed production: 2. typical range (/flower),5.36,10-100,,-,
57,Time of germination (season),5.39,autumn,,-,
58,Time of germination (season),5.39,spring,,-,
59,Normal method of propagation,5.52,seed,-,-,
60,Seedbank type,5.53,long-term persistent,-,-,
61,Seedbank type,5.53,"seedbank present, type uncertain",-,-,
62,Seedbank type,5.53,short-term persistent,-,-,
63,Seedbank type,5.53,transient,-,-,
64,Maximum seedbank density (m2),5.54,488708,-,-,
65,Minimum seedbank density (m2),5.55,300,-,-,
66,Mean seedbank density (m2),5.56,121147,-,-,
67,Flower colour,5.58,pink,"red, white",,
68,Petal no,5.59,5,,,
69,Petal (sepal) size (cm),5.6,0.25,0.3,,
70,Stigma number,5.61,3,,,
71,Stamen number,5.62,6,4-8,,
72,Sepal number,5.63,5,,,
73,Carpel/Style number,5.64,3,,,
74,Inflorescence type,5.65,cyme,,,
75,Physical defences on leaves,6.02,glabrous,-,-,
76,Physical defences on leaves,6.02,glandular hairs,-,-,
77,Physical defences on stems,6.03,glandular hairs,-,-,
78,Physical defences on flowers/fruits,6.04,glandular hairs,sepals,-,
79,Rarity Status,7.02,Present,,,
80,Change Index,7.03,1.83,,,
81,Biome,7.04,Southern Temperate,,,
82,Eastern Limit,7.05,Circumpolar,,,
83,Continentality,7.06,Not continental,,,
84,Northern Limit in Britain,7.07,No,,,
85,Southern European Limit,7.1,No Data,,,
86,January mean temperature,7.11,4.3,,,
87,July mean temperature,7.12,15,,,
88,Annual precipitation,7.13,1094,,,
89,Ellenberg Indicator: Light,7.14,7,,Data calculated for Europe,
90,Ellenberg Indicator: Light,7.14,8,,,
91,Ellenberg Indicator: Light,7.14,8,,Data calculated for the Czech Republic,
92,Ellenberg : Moisture,7.15,7,,Data calculated for the Czech Republic,
93,Ellenberg : Moisture,7.15,7=,,Data calculated for Europe,
94,Ellenberg : Moisture,7.15,8,,,
95,Ellenberg: pH,7.16,8,,,
