,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,infertile,-,-,
1,Soil pH: 1. extreme maximum,1.06,7.4,-,-,
2,Soil pH: 2. extreme minimum,1.07,3.5,-,-,
3,Soil pH: 3. typical maximum,1.08,5.4,-,-,
4,Soil pH: 4. typical minimum,1.09,4.2,-,-,
5,Shade,1.1,light,-,-,
6,Shade,1.1,mid,-,-,
7,Shade,1.1,none,in uplands,-,
8,Altitude: 1. maximum recorded (m),1.12,914,-,-,
9,Altitude: 2. minimum recorded (m),1.13,0,-,-,
10,Altitude: 4. typical minimum (m),1.14,0,-,-,
11,Status,2.01,native,-,-,
12,Typical abundance where naturally occurring,2.02,frequent,-,-,
13,Dynamics,2.03,declining,probably,-,
14,Dynamics,2.03,declining,-,-,
15,First historical record: 1. date,2.04,1562,-,-,
16,Range: 3. continents where native,2.11,Africa,-,-,
17,Range: 3. continents where native,2.11,Europe,-,-,
18,SN Index,2.13,3.42,-,-,
19,EW Index,2.14,4.58,-,-,
20,number of European countries in which native,2.17,24,-,-,
21,Medicinal Use,2.18,releives stitches,,,
22,Medicinal Use,2.18,shingles,,,
23,Medicinal Use,2.18,whooping cough,,,
24,Stems: 1. woodiness,3.01,woody,-,-,
25,Stems: 2. support,3.02,decumbent,-,-,
26,Height: 3. typical maximum (cm),3.05,60,-,-,
27,Height: 4. typical minimum (cm),3.06,15,-,-,
28,Spread,3.07,height > width,-,-,
29,Heterophylly,3.08,none,-,-,
30,Leaf shape: 1. type,3.09,simple,-,-,
31,Leaf shape: 2. outline,3.1,entire,-,-,
32,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
33,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
34,Leaf shape: 5. leaf base,3.13,rounded,-,-,
35,Leaf shape: 6. petiole,3.14,sessile,-,-,
36,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
37,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
38,Leaf area (cm2),3.17,1-10,-,-,
39,Stomata: 1. surfaces present,3.19,both,-,-,
40,Stomata: 2. density on lower surface(no/mm2),3.2,118,range 50-198,-,
41,Stomata: 3. density on upper surface (no/mm2),3.21,3,range 0-6,-,
42,Leaf longevity: 1. type,3.22,evergreen,-,-,
43,Photosynthetic pathway,4.02,C3,-,-,
44,Heavy metal resistance,4.05,none,-,-,
45,Carnivory,4.06,does not kill insects,-,-,
46,Nutrition,4.07,autotrophic,-,-,
47,Life-form,5.01,chamaephyte,-,-,
48,Mono/poly-carpic,5.04,polycarpic,-,-,
