,Name,Number,Value,Modifier,Notes,Subspecies
0,Salinity,1.05,salt-affected,-,-,
1,Status,2.01,native,-,-,
2,Typical abundance where naturally occurring,2.02,scattered,-,-,
3,Range: 3. continents where native,2.11,Europe,-,-,
4,SN Index,2.13,1.81,-,-,
5,EW Index,2.14,3.28,-,-,
6,number of European countries in which native,2.17,27,-,-,
7,Stems: 1. woodiness,3.01,non-woody,-,-,
8,Stems: 2. support,3.02,procumbent,-,-,
9,Height: 3. typical maximum (cm),3.05,50,-,-,
10,Spread,3.07,height < width,-,-,
11,Heterophylly,3.08,none,-,-,
12,Leaf shape: 1. type,3.09,simple,-,-,
13,Leaf shape: 2. outline,3.1,entire,-,-,
14,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
15,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
16,Leaf shape: 5. leaf base,3.13,truncate,-,-,
17,Leaf shape: 6. petiole,3.14,petiolate,-,-,
18,Leaf shape: 7. minimum petiole length (mm),3.15,2,-,-,
19,Leaf shape: 8. maximum petiole length (mm),3.16,5,-,-,
20,Leaf area (cm2),3.17,1-10,-,-,
21,Root depth: 2. depth (cm),3.26,10-50,c.15,-,
22,Photosynthetic pathway,4.02,C3,-,-,
23,Heavy metal resistance,4.05,none,-,-,
24,Carnivory,4.06,does not kill insects,-,-,
25,Nutrition,4.07,autotrophic,-,-,
26,Life-form,5.01,therophyte,-,-,
27,Longevity of stems (yrs),5.02,<1,-,-,
28,Vegetative reproduction/persistence: 1. method,5.05,none,-,-,
29,Vegetative reproduction/persistence: 2. pattern,5.06,no ramets,-,-,
30,Flowering time: 1. earliest month,5.07,3,-,-,
31,Flowering time: 2. latest month,5.08,5,-,-,
32,Pollen vector,5.15,selfed,-,-,
33,Dicliny,5.16,hermaphrodite,-,-,
34,Fertilization,5.19,normally self,-,-,
35,Cleistogamy,5.2,some cleistogamous flowers,-,-,
36,Incompatibility systems,5.22,none,-,-,
37,Chromosome number(s): 1. number,5.25,22,,-,
38,Dispersule size - length of longest axis (mm),5.3,0.7,seed,-,
39,Seed size - length of longest axis (mm),5.31,0.7,seed,-,
40,Seed weight: 3. mean (mg),5.34,0.313,,,
41,Seed production: 2. typical range (/flower),5.36,10-100,c.11,-,
42,Time of germination (season),5.39,spring,-,-,
43,Normal method of propagation,5.52,seed,-,-,
44,Flower colour,5.58,white,,,
45,Petal no,5.59,5,,,
46,Petal (sepal) size (cm),5.6,0,,,
47,Stigma number,5.61,3,,,
48,Stamen number,5.62,10,,,
49,Sepal number,5.63,5,,,
50,Carpel/Style number,5.64,3,fused,,
51,Inflorescence type,5.65,cyme,,,
52,Physical defences on stems,6.03,soft hairs,single line of hairs down each internode,-,
53,Physical defences on flowers/fruits,6.04,glabrous,sepals,-,
54,Physical defences on flowers/fruits,6.04,soft hairs,sepals,-,
55,Rarity Status,7.02,Present,,,
56,Change Index,7.03,1.17,,,
57,Biome,7.04,Southern Temperate,,,
58,Eastern Limit,7.05,Euro-Siberian,,,
59,Continentality,7.06,Not continental,,,
60,Northern Limit in Britain,7.07,No,,,
61,Southern European Limit,7.1,No Data,,,
62,January mean temperature,7.11,4,,,
63,July mean temperature,7.12,16,,,
64,Annual precipitation,7.13,766,,,
65,Ellenberg Indicator: Light,7.14,7,,,
66,Ellenberg Indicator: Light,7.14,7,,Data calculated for the Czech Republic,
67,Ellenberg Indicator: Light,7.14,,,Data calculated for Europe,
68,Ellenberg : Moisture,7.15,4,,,
69,Ellenberg : Moisture,7.15,4x,,Data calculated for the Czech Republic,
70,Ellenberg : Moisture,7.15,,,Data calculated for Europe,
71,Ellenberg: pH,7.16,4,,,
72,Ellenberg: pH,7.16,6,,Data calculated for the Czech Republic,
73,Ellenberg: pH,7.16,,,Data calculated for Europe,
74,Ellenberg Indicator: Nitrogen,7.17,4,,,
75,Ellenberg Indicator: Nitrogen,7.17,6,,Data calculated for the Czech Republic,
76,Ellenberg Indicator: Nitrogen,7.17,,,Data calculated for Europe,
77,Ellenberg Indicator: Salt,7.18,0,,,
78,Ellenberg Indicator: Salt,7.18,1,,Data calculated for the Czech Republic,
79,Ellenberg Indicator: Salt,7.18,,,Data calculated for Europe,
80,Life Form: normal state,7.19,Therophyte,,,
81,Clonality: normal state,7.21,Little or no vegetative spread,,,
82,Clonality: less frequent state,7.22,Shortly creeping and rooting at nodes,,,
83,Ellenberg: Temperature,7.23,6x,,Data calculated for the Czech Republic,
84,Ellenberg: Temperature,7.23,,,Data calculated for Europe,
85,Ellenberg: Continetality,7.24,,,Data calculated for Europe,
