,Name,Number,Value,Modifier,Notes,Subspecies
0,Status,2.01,naturalised,-,-,
1,First historical record: 1. date,2.04,1827,-,-,
2,First historical record: 2. site,2.05,"Cobham Lodge, Kent",-,-,
3,Range: 4. continents where introduced,2.12,Europe,-,-,
4,SN Index,2.13,2.91,-,-,
5,EW Index,2.14,4.2,-,-,
6,Stems: 1. woodiness,3.01,non-woody,-,-,
7,Stems: 2. support,3.02,self-supporting,-,-,
8,Height: 3. typical maximum (cm),3.05,150,-,-,
9,Spread,3.07,height > width,-,-,
10,Heterophylly,3.08,none,-,-,
11,Leaf shape: 1. type,3.09,simple,-,-,
12,Leaf shape: 2. outline,3.1,entire,-,-,
13,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
14,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
15,Leaf shape: 5. leaf base,3.13,cuneate,-,-,
16,Leaf shape: 6. petiole,3.14,petiolate,-,-,
17,Leaf shape: 6. petiole,3.14,sessile,-,-,
18,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
19,Leaf area (cm2),3.17,10-100,-,-,
20,Photosynthetic pathway,4.02,C3,-,-,
21,Heavy metal resistance,4.05,none,-,-,
22,Carnivory,4.06,does not kill insects,-,-,
23,Nutrition,4.07,autotrophic,-,-,
24,Life-form,5.01,hemicryptophyte,-,-,
25,Longevity of stems (yrs),5.02,<1,-,-,
26,Flowering time: 1. earliest month,5.07,6,-,-,
27,Flowering time: 2. latest month,5.08,8,-,-,
28,Pollen: 2. diameter (um),5.13,25.8,-,-,
29,Pollen vector,5.15,none,-,-,
30,Dicliny,5.16,hermaphrodite,-,-,
31,Chromosome number(s): 1. number,5.25,36,,-,
32,Flower colour,5.58,blue,"violet, purple",,
33,Petal no,5.59,5,,fused,
34,Petal (sepal) size (cm),5.6,1.6,1.5-1.7,,
35,Stigma number,5.61,1,,,
36,Stamen number,5.62,5,,,
37,Sepal number,5.63,5,,,
38,Carpel/Style number,5.64,1,,,
39,Inflorescence type,5.65,cymes,"forked, scorpoidal",,
40,Physical defences on leaves,6.02,stiff hairs,-,-,
41,Physical defences on stems,6.03,stiff hairs,-,-,
