,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,infertila,,,
1,Soil moisture: 2. drainage,1.03,free draining,,,
2,Salinity,1.05,salt tolerant,,,
3,Soil pH: 3. typical maximum,1.08,7.5,,,
4,Soil pH: 4. typical minimum,1.09,5.8,,,
5,Range: 2. european countries where introduced,2.1,"Be, Cs, Fr, He, Ne, Po, Hu, UK,",,,
6,Range: 3. continents where native,2.11,Oc,,,
7,Range: 4. continents where introduced,2.12,"Eo, Oc, Sa, Na, Af, As",,,
8,Stems: 1. woodiness,3.01,not woody,,,
9,Stems: 2. support,3.02,self supporting,,,
10,Height: 1. extreme maximum (cm),3.03,140,,,
11,Height: 2. extreme minimum (cm),3.04,30,,,
12,Height: 3. typical maximum (cm),3.05,100,,,
13,Spread,3.07,height = width,,,
14,Heterophylly,3.08,none,,,
15,Leaf shape: 1. type,3.09,simple,,,
16,Leaf shape: 2. outline,3.1,entire,,,
17,Leaf shape: 3. pointed/round,3.11,pointed,,,
18,Leaf shape: 3. pointed/round,3.11,rounded,,,
19,Leaf shape: 4. length versus breadth,3.12,1-3 x as long as wide,,,
20,Leaf shape: 5. leaf base,3.13,cuneate,hastate,,
21,Leaf shape: 6. petiole,3.14,petiolate,,,
22,Leaf shape: 7. minimum petiole length (mm),3.15,10,,,
23,Leaf shape: 8. maximum petiole length (mm),3.16,45,,,
24,Nutrition,4.07,autotrophic,,,
25,Response to frost (non-woody tissue),4.09,sensitive,,,
26,Longevity of stems (yrs),5.02,<1,1-2,,
27,Age at first flowering,5.03,6-12 weeks,,59 days,
28,Chromosome number(s): 1. number,5.25,16,,,
29,Chromosome number(s): 1. number,5.25,32,,,
30,Seed size - length of longest axis (mm),5.31,2.5,,,
31,Seed weight: 3. mean (mg),5.34,0.6848,,,
32,Dispersal agent,5.38,water,,,
33,Flower colour,5.58,yellow,yellow-green,,
34,Petal no,5.59,0,4-5,sepals,
35,Petal (sepal) size (cm),5.6,0,0.2-0.33,sepals,
36,Stigma number,5.61,5,3-8,,
37,Stamen number,5.62,numerous,,,
38,Sepal number,5.63,4,5,petaloid,
39,Carpel/Style number,5.64,5,3-8,,
40,Inflorescence type,5.65,solitary,,axillary,
41,Physical defences on leaves,6.02,papillate,,,
42,Physical defences on stems,6.03,glabrous,,,
43,Physical defences on flowers/fruits,6.04,glabrous,,,
