,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,infertile,-,-,
1,Soil moisture: 2. drainage,1.03,free-draining,-,-,
2,Soil pH: 1. extreme maximum,1.06,8.2,-,-,
3,Soil pH: 2. extreme minimum,1.07,3.6,-,-,
4,Shade,1.1,light,-,-,
5,Shade,1.1,none,-,-,
6,Altitude: 1. maximum recorded (m),1.12,600,-,-,
7,Altitude: 2. minimum recorded (m),1.13,0,-,-,
8,Altitude: 4. typical minimum (m),1.14,0,-,-,
9,Status,2.01,native,-,-,
10,Typical abundance where naturally occurring,2.02,frequent,-,-,
11,Dynamics,2.03,declining,probably,-,
12,First historical record: 1. date,2.04,1570,-,-,
13,Range: 3. continents where native,2.11,Asia,-,-,
14,Range: 3. continents where native,2.11,Europe,-,-,
15,SN Index,2.13,3.8,-,-,
16,EW Index,2.14,4.96,-,-,
17,number of European countries in which native,2.17,19,-,-,
18,Medicinal Use,2.18,colds,,,
19,Medicinal Use,2.18,coughs,,,
20,Medicinal Use,2.18,heart palpitations,,,
21,Medicinal Use,2.18,rheumatism,,,
22,Medicinal Use,2.18,swelling,,,
23,Medicinal Use,2.18,tuberculosis,,,
24,Stems: 1. woodiness,3.01,non-woody,-,-,
25,Stems: 2. support,3.02,self-supporting,-,-,
26,Height: 1. extreme maximum (cm),3.03,50,-,-,
27,Height: 2. extreme minimum (cm),3.04,10,-,-,
28,Height: 3. typical maximum (cm),3.05,30,-,-,
29,Height: 4. typical minimum (cm),3.06,15,-,-,
30,Spread,3.07,height > width,-,-,
31,Heterophylly,3.08,none,-,-,
32,Leaf shape: 1. type,3.09,simple,-,-,
33,Leaf shape: 2. outline,3.1,crenate,-,-,
34,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
35,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
36,Leaf shape: 5. leaf base,3.13,cuneate,-,-,
37,Leaf shape: 6. petiole,3.14,petiolate,-,-,
38,Leaf area (cm2),3.17,10-100,-,-,
39,Stomata: 1. surfaces present,3.19,both,-,-,
40,Stomata: 1. surfaces present,3.19,lower,-,-,
41,Stomata: 2. density on lower surface(no/mm2),3.2,238,range 156-320,-,
42,Stomata: 3. density on upper surface (no/mm2),3.21,0,-,-,
43,Leaf longevity: 1. type,3.22,semi-evergreen,-,-,
44,Root system,3.24,adventitious,-,-,
45,Root hairs,3.28,present,-,-,
46,Seedling growth rate - maximum (/d),4.01,0.154,-,-,
47,Photosynthetic pathway,4.02,C3,-,-,
48,Heavy metal resistance,4.05,none,-,-,
49,Carnivory,4.06,does not kill insects,-,-,
50,Nutrition,4.07,autotrophic,-,-,
51,Response to frost (seedlings),4.1,sensitive,-,-,
52,Rgr max,4.12,1.08,�0.09,,
53,rgr,4.13,1.03,�0.08,,
54,Life-form,5.01,hemicryptophyte,-,-,
55,Longevity of stems (yrs),5.02,<1,-,-,
56,Age at first flowering,5.03,5-20 yrs,-,-,
57,Mono/poly-carpic,5.04,polycarpic,-,-,
58,Vegetative reproduction/persistence: 1. method,5.05,rhizomes,-,-,
59,Vegetative reproduction/persistence: 2. pattern,5.06,diffuse ramets,-,-,
60,Flowering time: 1. earliest month,5.07,6,-,-,
61,Flowering time: 2. latest month,5.08,9,-,-,
62,Photoperiodism: 1. type,5.1,long-day,-,-,
63,Pollen vector,5.15,insect,-,-,
64,Dicliny,5.16,gynodioecious,,-,
65,Dicliny,5.16,hermaphrodite,-,-,
66,Dichogamy,5.17,markedly protandrous,-,-,
67,Fertilization,5.19,normally cross,-,-,
68,Incompatibility systems,5.22,none,-,-,
69,Chromosome number(s): 1. number,5.25,24,-,-,
70,Chromosome number(s): 1. number,5.25,32,-,-,
71,2C DNA content (pg),5.26,2.4,-,-,
72,Time of seed dispersal (season),5.28,autumn,-,-,
73,Annual seed dispersal,5.29,regular,-,-,
74,Dispersule size - length of longest axis (mm),5.3,1.4,nutlet,-,
75,Seed size - length of longest axis (mm),5.31,1.4,nutlet,-,
76,Seed weight: 3. mean (mg),5.34,0.8,,,
77,Seed weight: 3. mean (mg),5.34,0.87,-,-,
78,Seed production: 1. maximum (/flower),5.35,4,-,-,
79,Seed production: 2. typical range (/flower),5.36,1-10,-,-,
80,Dispersal agent,5.38,unspecialised,-,-,
81,Time of germination (season),5.39,spring,-,-,
82,After-ripening requirement,5.4,none,-,-,
83,Germination requirements 1. chilling,5.45,partial,increases % germination,-,
84,Germination requirements 2. light,5.46,none,-,-,
85,Germination type,5.48,epigeal,-,-,
86,Normal method of propagation,5.52,seed and vegetative,-,-,
87,Seedbank type,5.53,long-term persistent,-,-,
88,Seedbank type,5.53,"seedbank present, type uncertain",-,-,
89,Seedbank type,5.53,short-term persistent,-,-,
90,Seedbank type,5.53,transient,-,-,
91,Maximum seedbank density (m2),5.54,617,-,-,
92,Minimum seedbank density (m2),5.55,38,-,-,
93,Mean seedbank density (m2),5.56,179.8,-,-,
94,Flower colour,5.58,pale yellow-green,,,
95,Petal no,5.59,5,,fused,
96,Petal (sepal) size (cm),5.6,1.4,,,
97,Stigma number,5.61,2,,,
98,Stamen number,5.62,4,,,
99,Sepal number,5.63,5,,fused,
100,Carpel/Style number,5.64,1,,,
101,Inflorescence type,5.65,whorl,,condensed cymes in axil of leaf pairs,
102,Response to vertebrate grazing,6.01,decreases,-,-,
103,Physical defences on leaves,6.02,soft hairs,-,-,
104,Physical defences on stems,6.03,soft hairs,-,-,
105,Rarity Status,7.02,Present,,,
106,Change Index,7.03,-0.69,,,
107,Biome,7.04,Southern Temperate,,,
108,Eastern Limit,7.05,Suboceanic,,,
109,Continentality,7.06,Not continental,,,
110,Northern Limit in Britain,7.07,No,,,
111,"Northern European Limit (Lat,5C band)",7.08,55-60,,,
112,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
113,Southern European Limit,7.1,No,,,
114,January mean temperature,7.11,3.5,,,
115,July mean temperature,7.12,14.5,,,
116,Annual precipitation,7.13,1150,,,
117,Ellenberg Indicator: Light,7.14,6,,,
118,Ellenberg Indicator: Light,7.14,6,,Data calculated for the Czech Republic,
119,Ellenberg Indicator: Light,7.14,6,,Data calculated for Europe,
120,Ellenberg : Moisture,7.15,4,,,
121,Ellenberg : Moisture,7.15,4,,Data calculated for the Czech Republic,
122,Ellenberg : Moisture,7.15,4,,Data calculated for Europe,
123,Ellenberg: pH,7.16,2,,Data calculated for the Czech Republic,
124,Ellenberg: pH,7.16,2,,Data calculated for Europe,
125,Ellenberg: pH,7.16,4,,,
126,Ellenberg Indicator: Nitrogen,7.17,3,,,
127,Ellenberg Indicator: Nitrogen,7.17,3,,Data calculated for Europe,
128,Ellenberg Indicator: Nitrogen,7.17,4,,Data calculated for the Czech Republic,
129,Ellenberg Indicator: Salt,7.18,0,,,
130,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
131,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
132,Life Form: normal state,7.19,Hemicryptophyte,,,
133,Clonality: normal state,7.21,Rhizome far creeping,,,
134,Ellenberg: Temperature,7.23,5,,Data calculated for the Czech Republic,
135,Ellenberg: Temperature,7.23,5,,Data calculated for Europe,
136,Ellenberg: Continetality,7.24,2,,Data calculated for Europe,
