,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,infertile,-,-,
1,Soil nutrients,1.01,very infertile,-,-,
2,Shade,1.1,none,-,-,
3,Altitude: 1. maximum recorded (m),1.12,1213,-,-,
4,Altitude: 2. minimum recorded (m),1.13,0,-,-,
5,Altitude: 4. typical minimum (m),1.14,274,-,-,
6,Status,2.01,native,-,-,
7,First historical record: 1. date,2.04,1690,-,-,
8,First historical record: 2. site,2.05,Carnarvonshire,-,-,
9,Range: 3. continents where native,2.11,Asia,-,-,
10,Range: 3. continents where native,2.11,Europe,-,-,
11,Range: 3. continents where native,2.11,North America,-,-,
12,SN Index,2.13,7.88,-,-,
13,EW Index,2.14,5.41,-,-,
14,number of European countries in which native,2.17,15,-,-,
15,Stems: 1. woodiness,3.01,non-woody,-,-,
16,Stems: 2. support,3.02,self-supporting,-,-,
17,Height: 3. typical maximum (cm),3.05,15,-,-,
18,Height: 4. typical minimum (cm),3.06,8,-,-,
19,Spread,3.07,height > width,-,-,
20,Heterophylly,3.08,none,-,-,
21,Leaf shape: 1. type,3.09,compound,-,-,
22,Leaf shape: 2. outline,3.1,lobed,-,-,
23,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
24,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
25,Leaf shape: 5. leaf base,3.13,cuneate,-,-,
26,Leaf shape: 6. petiole,3.14,petiolate,-,-,
27,Stomata: 1. surfaces present,3.19,lower,,-,
28,Photosynthetic pathway,4.02,C3,-,-,
29,Heavy metal resistance,4.05,none,-,-,
30,Carnivory,4.06,does not kill insects,-,-,
31,Nutrition,4.07,autotrophic,-,-,
32,Life-form,5.01,hemicryptophyte,-,-,
33,Longevity of stems (yrs),5.02,<1,-,-,
34,Vegetative reproduction/persistence: 1. method,5.05,rhizomes,-,-,
35,Vegetative reproduction/persistence: 1. method,5.05,stolons,-,-,
36,Vegetative reproduction/persistence: 2. pattern,5.06,diffuse ramets,-,-,
37,Flowering time: 1. earliest month,5.07,6,-,-,
38,Flowering time: 2. latest month,5.08,7,-,-,
39,Pollen vector,5.15,wind,-,-,
40,Dicliny,5.16,hermaphrodite,-,-,
41,Dichogamy,5.17,weakly protogynous,-,-,
42,Chromosome number(s): 1. number,5.25,14,-,-,
43,Seed size - length of longest axis (mm),5.31,3.3,achene,-,
44,Seed weight: 3. mean (mg),5.34,0.63,,,
45,Seed production: 2. typical range (/flower),5.36,1-10,-,-,
46,Seedbank type,5.53,"seedbank present, type uncertain",-,-,
47,Maximum seedbank density (m2),5.54,30,-,-,
48,Minimum seedbank density (m2),5.55,30,-,-,
49,Mean seedbank density (m2),5.56,30,-,-,
50,Flower colour,5.58,cream,,,
51,Petal no,5.59,0,,,
52,Petal (sepal) size (cm),5.6,0.3,,sepals,
53,Stigma number,5.61,7,2-15,,
54,Stamen number,5.62,numerous,,,
55,Sepal number,5.63,4,petaloid,,
56,Carpel/Style number,5.64,7,2-15,,
57,Inflorescence type,5.65,raceme,,compound,
58,Physical defences on leaves,6.02,glabrous,-,-,
59,Physical defences on stems,6.03,glabrous,-,-,
60,Rarity Status,7.02,Present,,,
61,Change Index,7.03,-0.34,,,
62,Biome,7.04,Arctic Montane,,,
63,Eastern Limit,7.05,Circumpolar,,,
64,Continentality,7.06,Not continental,,,
65,Northern Limit in Britain,7.07,No,,,
66,Southern European Limit,7.1,No Data,,,
67,January mean temperature,7.11,2,,,
68,July mean temperature,7.12,12,,,
69,Annual precipitation,7.13,1845,,,
70,Ellenberg Indicator: Light,7.14,8,,,
71,Ellenberg : Moisture,7.15,7,,,
72,Ellenberg: pH,7.16,6,,,
73,Ellenberg Indicator: Nitrogen,7.17,3,,,
74,Ellenberg Indicator: Salt,7.18,0,,,
75,Life Form: normal state,7.19,Hemicryptophyte,,,
76,Clonality: normal state,7.21,Rhizome far creeping,,,
