,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil moisture: 2. drainage,1.03,free-draining,-,-,
1,Soil moisture: 3. supply,1.04,continuous,-,-,
2,Shade,1.1,light,-,-,
3,Altitude: 1. maximum recorded (m),1.12,880,-,-,
4,Altitude: 2. minimum recorded (m),1.13,0,-,-,
5,Status,2.01,native,-,-,
6,Typical abundance where naturally occurring,2.02,scattered,-,-,
7,Dynamics,2.03,declining,-,-,
8,Range: 3. continents where native,2.11,Asia,-,-,
9,Range: 3. continents where native,2.11,Europe,-,-,
10,Stems: 1. woodiness,3.01,non-woody,-,-,
11,Stems: 2. support,3.02,self-supporting,-,-,
12,Height: 1. extreme maximum (cm),3.03,120,,,
13,Height: 2. extreme minimum (cm),3.04,30,-,-,
14,Height: 3. typical maximum (cm),3.05,100,-,-,
15,Spread,3.07,height = width,-,-,
16,Heterophylly,3.08,none,-,-,
17,Leaf shape: 1. type,3.09,compound,-,-,
18,Leaf shape: 2. outline,3.1,crenate,-,-,
19,Leaf shape: 3. pointed/round,3.11,rounded,-,-,
20,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
21,Leaf shape: 5. leaf base,3.13,parallel-sided,-,-,
22,Leaf shape: 6. petiole,3.14,petiolate,-,-,
23,Leaf shape: 7. minimum petiole length (mm),3.15,75,-,-,
24,Leaf shape: 8. maximum petiole length (mm),3.16,250,-,-,
25,Leaf longevity: 1. type,3.22,aestival,-,-,
26,Leaf longevity: 2. number of months,3.23,2-6,-,-,
27,Root system,3.24,adventitious,-,-,
28,Carnivory,4.06,does not kill insects,-,-,
29,Nutrition,4.07,autotrophic,-,-,
30,Response to frost (non-woody tissue),4.09,sensitive,-,-,
31,Life-form,5.01,hemicryptophyte,-,-,
32,Mono/poly-carpic,5.04,polycarpic,-,-,
33,Vegetative reproduction/persistence: 1. method,5.05,rhizomes,-,-,
34,Flowering time: 1. earliest month,5.07,7,-,-,
35,Flowering time: 2. latest month,5.08,8,sporulation,-,
36,Flowering time: 3. peak month,5.09,8,sporulation,-,
37,Chromosome number(s): 1. number,5.25,68,-,-,
38,Physical defences on leaves,6.02,hairy,-,-,
39,Physical defences on leaves,6.02,scales,-,-,
40,Physical defences on stems,6.03,Scales,-,-,
41,Rarity Status,7.02,Present,,,
42,Change Index,7.03,-0.18,,,
43,Biome,7.04,Temperate,,,
44,Eastern Limit,7.05,European,,,
45,Continentality,7.06,Not continental,,,
46,Northern Limit in Britain,7.07,No,,,
47,"Northern European Limit (Lat,5C band)",7.08,>65,,,
48,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
49,Southern European Limit,7.1,No,,,
50,January mean temperature,7.11,2.8,,,
51,July mean temperature,7.12,14,,,
52,Annual precipitation,7.13,1323,,,
53,Ellenberg Indicator: Light,7.14,4,,Data calculated for Europe,
54,Ellenberg Indicator: Light,7.14,4x,,Data calculated for the Czech Republic,
55,Ellenberg Indicator: Light,7.14,6,,,
56,Ellenberg : Moisture,7.15,6,,,
57,Ellenberg : Moisture,7.15,6,,Data calculated for the Czech Republic,
58,Ellenberg : Moisture,7.15,6~,,Data calculated for Europe,
59,Ellenberg: pH,7.16,3,,Data calculated for the Czech Republic,
60,Ellenberg: pH,7.16,3,,Data calculated for Europe,
61,Ellenberg: pH,7.16,4,,,
62,Ellenberg Indicator: Nitrogen,7.17,3,,,
63,Ellenberg Indicator: Nitrogen,7.17,4,,Data calculated for the Czech Republic,
64,Ellenberg Indicator: Nitrogen,7.17,5,,Data calculated for Europe,
65,Ellenberg Indicator: Salt,7.18,0,,,
66,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
67,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
68,Life Form: normal state,7.19,Hemicryptophyte,,,
69,Clonality: normal state,7.21,Little or no vegetative spread,,,
70,Ellenberg: Temperature,7.23,4,,Data calculated for the Czech Republic,
71,Ellenberg: Temperature,7.23,4,,Data calculated for Europe,
72,Ellenberg: Continetality,7.24,2,,Data calculated for Europe,
