,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,-,
1,Soil nutrients,1.01,very fertile,-,-,
2,Waterlogging tolerance,1.021,1.02,�0.2,,
3,Soil moisture: 2. drainage,1.03,free-draining,-,-,
4,Shade,1.1,deep,-,-,
5,Shade,1.1,deep,-,-,
6,Shade,1.1,light,-,-,
7,Shade,1.1,light,-,-,
8,Shade,1.1,mid,-,-,
9,Shade,1.1,mid,-,-,
10,Shade,1.1,none,-,-,
11,Shade,1.1,none,-,-,
12,Shade tolerance,1.101,4,�0.2,,
13,Altitude: 1. maximum recorded (m),1.12,396,-,-,
14,Altitude: 1. maximum recorded (m),1.12,400,-,-,
15,Status,2.01,native,-,-,
16,First historical record: 1. date,2.04,1666,-,-,
17,First historical record: 2. site,2.05,Whitstable,-,-,
18,Range: 3. continents where native,2.11,Asia,-,-,
19,Range: 3. continents where native,2.11,Europe,-,-,
20,SN Index,2.13,2.49,-,-,
21,EW Index,2.14,3.78,-,-,
22,British distribution (post 1949 records),2.15,63,-,-,
23,number of European countries in which native,2.17,19,-,-,
24,Stems: 1. woodiness,3.01,woody,-,-,
25,Stems: 2. support,3.02,self-supporting,-,-,
26,Height: 3. typical maximum (cm),3.05,3000,-,-,
27,Height: 3. typical maximum (cm),3.05,3500,,,
28,Spread,3.07,height > width,-,-,
29,Heterophylly,3.08,none,-,-,
30,Leaf shape: 1. type,3.09,simple,-,-,
31,Leaf shape: 2. outline,3.1,toothed,-,-,
32,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
33,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
34,Leaf shape: 5. leaf base,3.13,cordate,-,-,
35,Leaf shape: 5. leaf base,3.13,rounded,-,-,
36,Leaf shape: 5. leaf base,3.13,truncate,-,-,
37,Leaf shape: 6. petiole,3.14,petiolate,-,-,
38,Leaf shape: 7. minimum petiole length (mm),3.15,20,-,-,
39,Leaf shape: 8. maximum petiole length (mm),3.16,50,-,-,
40,Leaf area (cm2),3.17,10-100,,-,
41,Stomata: 1. surfaces present,3.19,lower,-,-,
42,Stomata: 2. density on lower surface(no/mm2),3.2,119,-,-,
43,Stomata: 3. density on upper surface (no/mm2),3.21,0,-,-,
44,Leaf longevity: 1. type,3.22,aestival,-,-,
45,Mean plant dry mass(mg),3.35,1500,,,
46,Photosynthetic pathway,4.02,C3,-,-,
47,Heavy metal resistance,4.05,none,-,-,
48,Carnivory,4.06,does not kill insects,-,-,
49,Nutrition,4.07,autotrophic,-,-,
50,Drought Tolerance,4.081,2.52,�0.16,,
51,Life-form,5.01,phanerophyte,-,-,
52,Longevity of stems (yrs),5.02,>500,-,-,
53,Longevity of stems (yrs),5.02,>500,-,-,
54,Mono/poly-carpic,5.04,polycarpic,-,-,
55,Flowering time: 1. earliest month,5.07,6,-,-,
56,Flowering time: 2. latest month,5.08,6,-,-,
57,Pollen: 2. diameter (um),5.13,31,-,-,
