,Name,Number,Value,Modifier,Notes,Subspecies
0,Status,2.01,naturalised,-,-,
1,Dynamics,2.03,increasing,-,-,
2,Range: 3. continents where native,2.11,North America,-,-,
3,SN Index,2.13,4.71,-,-,
4,EW Index,2.14,5.62,-,-,
5,Stems: 1. woodiness,3.01,non-woody,-,-,
6,Stems: 2. support,3.02,self-supporting,-,-,
7,Height: 3. typical maximum (cm),3.05,70,-,-,
8,Spread,3.07,height > width,-,-,
9,Heterophylly,3.08,none,-,-,
10,Leaf shape: 1. type,3.09,simple,-,-,
11,Leaf shape: 2. outline,3.1,lobed and toothed,-,-,
12,Leaf shape: 3. pointed/round,3.11,rounded,-,-,
13,Leaf shape: 4. length versus breadth,3.12,length = width,-,-,
14,Leaf shape: 5. leaf base,3.13,cordate,-,-,
15,Leaf shape: 6. petiole,3.14,petiolate,-,-,
16,Leaf shape: 7. minimum petiole length (mm),3.15,100,-,-,
17,Leaf shape: 8. maximum petiole length (mm),3.16,300,-,-,
18,Photosynthetic pathway,4.02,C3,-,-,
19,Heavy metal resistance,4.05,none,-,-,
20,Carnivory,4.06,does not kill insects,-,-,
21,Nutrition,4.07,autotrophic,-,-,
22,Vegetative reproduction/persistence: 1. method,5.05,bulbils,-,-,
23,Pollen vector,5.15,insect,-,-,
24,Dicliny,5.16,hermaphrodite,-,-,
25,Fertilization,5.19,obligatory cross,-,-,
26,Incompatibility systems,5.22,"present, mechanism unknown",-,-,
27,Seed weight: 3. mean (mg),5.34,0.056,,,
28,Normal method of propagation,5.52,vegetative,-,-,
29,Flower colour,5.58,brown,,,
30,Petal no,5.59,4,5,,
31,Petal (sepal) size (cm),5.6,1.05,0.6-1.5,,
32,Stigma number,5.61,2,,,
33,Stamen number,5.62,3,,,
34,Sepal number,5.63,5,,,
35,Carpel/Style number,5.64,2,,,
36,Physical defences on leaves,6.02,soft hairs,-,-,
37,Biome,7.04,Mediterranean,,,
38,Eastern Limit,7.05,Hyperoceanic,,,
39,Continentality,7.06,Not continental,,,
40,Northern Limit in Britain,7.07,No,,,
41,Southern European Limit,7.1,No Data,,,
42,January mean temperature,7.11,3.2,,,
43,July mean temperature,7.12,14,,,
44,Annual precipitation,7.13,1131,,,
45,Ellenberg Indicator: Light,7.14,3,,,
46,Ellenberg : Moisture,7.15,6,,,
47,Ellenberg: pH,7.16,7,,,
48,Ellenberg Indicator: Nitrogen,7.17,7,,,
49,Ellenberg Indicator: Salt,7.18,0,,,
50,Life Form: normal state,7.19,Hemicryptophyte,,,
51,Clonality: normal state,7.21,Little or no vegetative spread,,,
