,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,-,
1,Soil nutrients,1.01,infertile,-,-,
2,Shade,1.1,none,-,-,
3,Altitude: 1. maximum recorded (m),1.12,228,-,-,
4,Altitude: 2. minimum recorded (m),1.13,0,-,-,
5,Altitude: 4. typical minimum (m),1.14,0,-,-,
6,Status,2.01,native,-,-,
7,Dynamics,2.03,declining,-,-,
8,Range: 3. continents where native,2.11,Africa,-,-,
9,Range: 3. continents where native,2.11,Asia,-,-,
10,Range: 3. continents where native,2.11,Europe,-,-,
11,SN Index,2.13,1.73,-,-,
12,EW Index,2.14,3.82,-,-,
13,number of European countries in which native,2.17,20,-,-,
14,Stems: 1. woodiness,3.01,non-woody,-,-,
15,Stems: 2. support,3.02,procumbent,-,-,
16,Stems: 2. support,3.02,self-supporting,-,-,
17,Height: 3. typical maximum (cm),3.05,50,-,-,
18,Spread,3.07,height > width,-,-,
19,Heterophylly,3.08,none,-,-,
20,Leaf shape: 1. type,3.09,compound,-,-,
21,Leaf shape: 2. outline,3.1,lobed and toothed,-,-,
22,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
23,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
24,Leaf shape: 5. leaf base,3.13,not applicable,compound leaves,-,
25,Leaf shape: 6. petiole,3.14,petiolate,-,-,
26,Photosynthetic pathway,4.02,C3,-,-,
27,Heavy metal resistance,4.05,none,-,-,
28,Carnivory,4.06,does not kill insects,-,-,
29,Nutrition,4.07,autotrophic,-,-,
30,Life-form,5.01,therophyte,-,-,
31,Longevity of stems (yrs),5.02,<1,-,-,
32,Vegetative reproduction/persistence: 1. method,5.05,none,-,-,
33,Vegetative reproduction/persistence: 2. pattern,5.06,no ramets,-,-,
34,Flowering time: 1. earliest month,5.07,5,-,-,
35,Flowering time: 2. latest month,5.08,7,-,-,
36,Chromosome number(s): 1. number,5.25,22,,-,
37,2C DNA content (pg),5.26,3.2,,,
38,Dispersule size - length of longest axis (mm),5.3,3.0,fruit,-,
39,Seed weight: 3. mean (mg),5.34,2.3,,,
40,Time of germination (season),5.39,autumn,-,-,
41,Time of germination (season),5.39,spring,-,-,
42,Normal method of propagation,5.52,seed,-,-,
43,Seedbank type,5.53,transient,-,-,
44,Flower colour,5.58,white,pink,,
45,Petal no,5.59,5,,,
46,Petal (sepal) size (cm),5.6,0.05,,,
47,Stigma number,5.61,1,,stylopodium,
48,Stamen number,5.62,5,,,
49,Sepal number,5.63,5,,minute or 0,
50,Carpel/Style number,5.64,2,,,
51,Inflorescence type,5.65,umbel,,,
52,Physical defences on stems,6.03,hairy,sparse,-,
53,Physical defences on flowers/fruits,6.04,spines,fruit,-,
54,Rarity Status,7.02,Present,,,
55,Change Index,7.03,-0.36,,,
56,Biome,7.04,Mediterranean-Atlantic,,,
57,Eastern Limit,7.05,Oceanic,,,
58,Continentality,7.06,Not continental,,,
59,Northern Limit in Britain,7.07,No,,,
60,Southern European Limit,7.1,No Data,,,
61,January mean temperature,7.11,4.1,,,
62,July mean temperature,7.12,16,,,
63,Annual precipitation,7.13,792,,,
64,Ellenberg Indicator: Light,7.14,8,,,
65,Ellenberg Indicator: Light,7.14,8,,Data calculated for the Czech Republic,
66,Ellenberg Indicator: Light,7.14,8,,Data calculated for Europe,
67,Ellenberg : Moisture,7.15,4,,Data calculated for the Czech Republic,
68,Ellenberg : Moisture,7.15,4,,Data calculated for Europe,
69,Ellenberg : Moisture,7.15,5,,,
70,Ellenberg: pH,7.16,7,,,
71,Ellenberg: pH,7.16,7,,Data calculated for the Czech Republic,
72,Ellenberg: pH,7.16,7,,Data calculated for Europe,
73,Ellenberg Indicator: Nitrogen,7.17,6,,,
74,Ellenberg Indicator: Nitrogen,7.17,6,,Data calculated for Europe,
75,Ellenberg Indicator: Nitrogen,7.17,7,,Data calculated for the Czech Republic,
76,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
77,Ellenberg Indicator: Salt,7.18,1,,,
78,Ellenberg Indicator: Salt,7.18,1,,Data calculated for the Czech Republic,
79,Life Form: normal state,7.19,Therophyte,,,
80,Clonality: normal state,7.21,Little or no vegetative spread,,,
81,Ellenberg: Temperature,7.23,6,,Data calculated for Europe,
82,Ellenberg: Temperature,7.23,7,,Data calculated for the Czech Republic,
83,Ellenberg: Continetality,7.24,3,,Data calculated for Europe,
