,Name,Number,Value,Modifier,Notes,Subspecies
0,Flower colour,5.58,yellow,,,
1,Petal (sepal) size (cm),5.6,,,ligulate,
2,Ellenberg Indicator: Light,7.14,7,,Data calculated for the Czech Republic,
3,Ellenberg Indicator: Light,7.14,7,,Data calculated for Europe,
4,Ellenberg : Moisture,7.15,4,,Data calculated for Europe,
5,Ellenberg : Moisture,7.15,5,,Data calculated for the Czech Republic,
6,Ellenberg: pH,7.16,7,,Data calculated for the Czech Republic,
7,Ellenberg: pH,7.16,7,,Data calculated for Europe,
8,Ellenberg Indicator: Nitrogen,7.17,6,,Data calculated for the Czech Republic,
9,Ellenberg Indicator: Nitrogen,7.17,6,,Data calculated for Europe,
10,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
11,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
12,Ellenberg: Temperature,7.23,5,,Data calculated for the Czech Republic,
13,Ellenberg: Temperature,7.23,6,,Data calculated for Europe,
14,Ellenberg: Continetality,7.24,3,,Data calculated for Europe,
