,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,-,
1,Soil pH: 1. extreme maximum,1.06,7.02,-,-,
2,Water pH: 1. extreme maximum,1.06A,6.73,-,-,
3,Soil pH: 2. extreme minimum,1.07,6.44,-,-,
4,Water pH: 2. extreme minimum,1.07A,5.24,-,-,
5,Shade,1.10,light,-,-,
6,Shade,1.10,none,-,-,
7,Altitude: 1. maximum recorded (m),1.12,1130,-,-,
8,Altitude: 2. minimum recorded (m),1.13,0,-,-,
9,Altitude: 4. typical minimum (m),1.14,0,-,-,
10,Status,2.01,native,-,-,
11,Typical abundance where naturally occurring,2.02,scattered,-,-,
12,First historical record: 1. date,2.04,1597,-,-,
13,First historical record: 2. site,2.05,Yorkshire & Lancashire,-,-,
14,Range: 3. continents where native,2.11,Europe,-,-,
15,Range: 3. continents where native,2.11,North America,-,-,
16,SN Index,2.13,6.09,-,-,
17,EW Index,2.14,4.87,-,-,
18,number of European countries in which native,2.17,21,-,-,
19,Stems: 1. woodiness,3.01,non-woody,-,-,
20,Stems: 2. support,3.02,self-supporting,-,-,
21,Height: 3. typical maximum (cm),3.05,60,-,-,
22,Height: 4. typical minimum (cm),3.06,10,-,-,
23,Spread,3.07,height > width,-,-,
24,Heterophylly,3.08,none,-,-,
25,Leaf shape: 1. type,3.09,compound,-,-,
26,Leaf shape: 2. outline,3.10,lobed and toothed,-,-,
27,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
28,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
29,Leaf shape: 5. leaf base,3.13,cuneate,-,-,
30,Leaf shape: 6. petiole,3.14,petiolate,-,-,
31,Leaf shape: 6. petiole,3.14,sessile,-,-,
32,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
33,Mean plant dry mass(mg),3.35,1096,,,
34,Photosynthetic pathway,4.02,C3,-,-,
35,Heavy metal resistance,4.05,none,-,-,
36,Carnivory,4.06,does not kill insects,-,-,
37,Nutrition,4.07,autotrophic,-,-,
38,Life-form,5.01,hemicryptophyte,-,-,
39,Longevity of stems (yrs),5.02,<1,-,-,
40,Mono/poly-carpic,5.04,polycarpic,-,-,
41,Flowering time: 1. earliest month,5.07,6,-,-,
42,Flowering time: 2. latest month,5.08,8,-,-,
43,Pollen: 2. diameter (um),5.13,19.6,,,
44,Pollen vector,5.15,insect,-,-,
45,Dicliny,5.16,hermaphrodite,-,-,
46,Dichogamy,5.17,homogamous,-,-,
47,Fertilization,5.19,cross and self,-,-,
48,Chromosome number(s): 1. number,5.25,16,,-,
49,2C DNA content (pg),5.26,8.83,,,
50,Seed size - length of longest axis (mm),5.31,1.5,seed,-,
51,Seed weight: 3. mean (mg),5.34,0.96,,,
52,Seed weight: 3. mean (mg),5.34,1.12,-,-,
53,Time of germination (season),5.39,spring,,-,
54,Seedbank type,5.53,transient,-,-,
55,Flower colour,5.58,yellow,,,
56,Petal no,5.59,10,5-15,nectaries,
57,Petal (sepal) size (cm),5.60,1.5,1-2.5,,
58,Stigma number,5.61,numerous,,,
59,Stamen number,5.62,numerous,,,
60,Sepal number,5.63,10,5-15,petaloid,
61,Carpel/Style number,5.64,numerous,,free,
62,Inflorescence type,5.65,solitary,cyme,1-few fld.,
63,Physical defences on leaves,6.02,glabrous,-,-,
64,Physical defences on stems,6.03,glabrous,-,-,
65,Rarity Status,7.02,Present,,,
66,Change Index,7.03,-0.73,,,
67,Biome,7.04,Boreal montane,,,
68,Eastern Limit,7.05,European,,,
69,Continentality,7.06,Not continental,,,
70,Northern Limit in Britain,7.07,No,,,
71,"Northern European Limit (Lat,5C band)",7.08,>65,,,
72,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
73,Southern European Limit,7.10,No,,,
74,January mean temperature,7.11,2.2,,,
75,July mean temperature,7.12,13,,,
76,Annual precipitation,7.13,1517,,,
77,Ellenberg Indicator: Light,7.14,7,,,
78,Ellenberg : Moisture,7.15,7,,,
79,Ellenberg: pH,7.16,6,,,
80,Ellenberg Indicator: Nitrogen,7.17,4,,,
81,Ellenberg Indicator: Salt,7.18,0,,,
82,Life Form: normal state,7.19,Hemicryptophyte,,,
83,Clonality: normal state,7.21,Little or no vegetative spread,,,
