,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,very infertile,-,-,
1,Soil moisture: 2. drainage,1.03,free-draining,-,-,
2,Soil pH: 1. extreme maximum,1.06,5.4,-,-,
3,Soil pH: 2. extreme minimum,1.07,4.3,-,-,
4,Shade,1.1,none,-,-,
5,Exposure,1.11,exposed,-,-,
6,Altitude: 1. maximum recorded (m),1.12,120,-,-,
7,Altitude: 2. minimum recorded (m),1.13,0,-,-,
8,Status,2.01,native,-,-,
9,Typical abundance where naturally occurring,2.02,scattered,-,-,
10,First historical record: 1. date,2.04,1778,-,-,
11,First historical record: 2. site,2.05,"Holyhead, Anglesea",-,-,
12,Range: 3. continents where native,2.11,Africa,-,-,
13,Range: 3. continents where native,2.11,Asia,-,-,
14,Range: 3. continents where native,2.11,Europe,-,-,
15,Range: 4. continents where introduced,2.12,North America,-,-,
16,SN Index,2.13,2.8,-,-,
17,EW Index,2.14,6.9,-,-,
18,number of European countries in which native,2.17,18,-,-,
19,Stems: 1. woodiness,3.01,non-woody,-,-,
20,Stems: 2. support,3.02,self-supporting,-,-,
21,Height: 2. extreme minimum (cm),3.04,2,-,-,
22,Height: 3. typical maximum (cm),3.05,30,-,-,
23,Height: 4. typical minimum (cm),3.06,6,-,-,
24,Spread,3.07,height > width,-,-,
25,Heterophylly,3.08,none,-,-,
26,Leaf shape: 1. type,3.09,simple,-,-,
27,Leaf shape: 2. outline,3.1,entire,-,-,
28,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
29,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
30,Leaf shape: 5. leaf base,3.13,cuneate,-,-,
31,Leaf shape: 6. petiole,3.14,sessile,-,-,
32,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
33,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
34,Leaf area (cm2),3.17,0.1-1,-,-,
35,Stomata: 1. surfaces present,3.19,both,-,-,
36,Stomata: 2. density on lower surface(no/mm2),3.2,100,-,-,
37,Stomata: 3. density on upper surface (no/mm2),3.21,100,-,-,
38,Root system,3.24,fibrous,-,-,
39,Root depth: 1. type,3.25,shallow,-,-,
40,Root hairs,3.28,absent,-,-,
41,Mean plant dry mass(mg),3.35,115,,,
42,Photosynthetic pathway,4.02,C3,-,-,
43,Heavy metal resistance,4.05,none,-,-,
44,Carnivory,4.06,does not kill insects,-,-,
45,Nutrition,4.07,autotrophic,-,-,
46,Response to drought,4.08,wilts and recovers,-,-,
47,Response to frost (non-woody tissue),4.09,resistant,-,-,
48,Life-form,5.01,therophyte,-,-,
49,Longevity of stems (yrs),5.02,<1,-,-,
50,Vegetative reproduction/persistence: 1. method,5.05,none,-,-,
51,Vegetative reproduction/persistence: 2. pattern,5.06,no ramets,-,-,
52,Flowering time: 1. earliest month,5.07,5,-,-,
53,Flowering time: 2. latest month,5.08,8,-,-,
54,Pollen vector,5.15,insect,-,-,
55,Dicliny,5.16,hermaphrodite,-,-,
56,Fertilization,5.19,normally cross,-,-,
57,Fertilization,5.19,normally self,-,-,
58,Cleistogamy,5.2,some cleistogamous flowers,,-,
59,Incompatibility systems,5.22,none,-,-,
60,Pollen/ovule ratio,5.23,56.7,-,-,
61,Chromosome number(s): 1. number,5.25,35,-,-,
62,Chromosome number(s): 1. number,5.25,36,-,-,
63,2C DNA content (pg),5.26,7.22,,,
64,Dispersule size - length of longest axis (mm),5.3,0.6,seed,-,
65,Seed size - length of longest axis (mm),5.31,0.53,-,-,
66,Seed size - length of longest axis (mm),5.31,0.6,seed,-,
67,Seed weight: 3. mean (mg),5.34,0.02,,,
68,Seed weight: 3. mean (mg),5.34,0.05,-,-,
69,Seed weight: 3. mean (mg),5.34,0.08,-,-,
70,Seed weight: 3. mean (mg),5.34,0.46,,,
71,Seed production: 1. maximum (/flower),5.35,60,-,-,
72,Seed production: 2. typical range (/flower),5.36,10-100,-,-,
73,Seed production: 2. typical range (/flower),5.36,10-100,-,-,
74,Seed production: 3. typical range (/plant),5.37,10-100,11.426,,
75,Seed production: 3. typical range (/plant),5.37,100-1000,-,-,
76,Dispersal agent,5.38,rainwash,-,-,
77,Time of germination (season),5.39,autumn,early,-,
78,Time of germination (season),5.39,summer,late,-,
79,After-ripening requirement,5.4,none,some seeds dormant due to hard seed coat,-,
80,Germination requirements 2. light,5.46,none,-,-,
81,Germination type,5.48,epigeal,-,-,
82,Normal method of propagation,5.52,seed,-,-,
83,Seedbank type,5.53,"seedbank present, type uncertain",-,-,
84,Seedbank type,5.53,short-term persistent,-,-,
85,Seedbank type,5.53,transient,-,-,
86,Maximum seedbank density (m2),5.54,313,-,-,
87,Minimum seedbank density (m2),5.55,213,-,-,
88,Mean seedbank density (m2),5.56,253.5,-,-,
89,Flower colour,5.58,yellow,brown-red,,
90,Petal no,5.59,5,,,
91,Petal (sepal) size (cm),5.6,0.575,0.4-0.75,,
92,Stigma number,5.61,0,,,
93,Stamen number,5.62,numerous,,,
94,Sepal number,5.63,5,,,
95,Carpel/Style number,5.64,3,,,
96,Inflorescence type,5.65,cyme,,"lax, unilateral, racemose, fls 5-12",
97,Physical defences on leaves,6.02,soft hairs,-,-,
98,Physical defences on stems,6.03,soft hairs,-,-,
99,Conservation Status,7.01,Vulnerable,,,
100,Rarity Status,7.02,Rare,,,
101,Biome,7.04,Mediterranean-Atlantic,,,
102,Eastern Limit,7.05,Oceanic,,,
103,Continentality,7.06,Not continental,,,
104,Northern Limit in Britain,7.07,Yes,,,
105,"Northern European Limit (Lat,5C band)",7.08,50-55,,,
106,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
107,Southern European Limit,7.1,No,,,
108,January mean temperature,7.11,5.7,,,
109,July mean temperature,7.12,15.5,,,
110,Annual precipitation,7.13,1069,,,
111,Ellenberg Indicator: Light,7.14,9,,,
112,Ellenberg : Moisture,7.15,2,,,
113,Ellenberg: pH,7.16,5,,,
114,Ellenberg Indicator: Nitrogen,7.17,1,,,
115,Ellenberg Indicator: Salt,7.18,0,,,
116,Life Form: normal state,7.19,Therophyte,,,
117,Clonality: normal state,7.21,Little or no vegetative spread,,,
