,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,very infertile,-,-,
1,Waterlogging tolerance,1.021,2.5,,,
2,Shade,1.1,none,-,-,
3,Shade tolerance,1.101,1.93,�0,,
4,Altitude: 1. maximum recorded (m),1.12,670,-,-,
5,Altitude: 2. minimum recorded (m),1.13,0,-,-,
6,Altitude: 4. typical minimum (m),1.14,0,-,-,
7,Status,2.01,native,-,-,
8,Typical abundance where naturally occurring,2.02,dominant,-,-,
9,First historical record: 1. date,2.04,1849,-,-,
10,First historical record: 2. site,2.05,Dorset,-,-,
11,Range: 3. continents where native,2.11,Europe,-,-,
12,SN Index,2.13,2.34,-,-,
13,EW Index,2.14,6.38,-,-,
14,number of European countries in which native,2.17,4,-,-,
15,Stems: 1. woodiness,3.01,woody,-,-,
16,Stems: 2. support,3.02,self-supporting,-,-,
17,Height: 3. typical maximum (cm),3.05,200,-,-,
18,Height: 4. typical minimum (cm),3.06,10,-,-,
19,Spread,3.07,height = width,-,-,
20,Heterophylly,3.08,developmental,-,-,
21,Leaf shape: 1. type,3.09,simple,-,-,
22,Leaf shape: 2. outline,3.1,entire,-,-,
23,Leaf shape: 2. outline,3.1,lobed,-,-,
24,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
25,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
26,Leaf shape: 4. length versus breadth,3.12,length = width,-,-,
27,Leaf shape: 5. leaf base,3.13,not applicable,leaves modified to spines,-,
28,Root system,3.24,adventitious,from stem bases,-,
29,Root system,3.24,tap root,-,-,
30,Root depth: 1. type,3.25,deep,-,-,
31,Root depth: 2. depth (cm),3.26,0-10,0-15; max 76 cm,-,
32,Root hairs,3.28,present,-,-,
33,Photosynthetic pathway,4.02,C3,-,-,
34,Heavy metal resistance,4.05,none,-,-,
35,Carnivory,4.06,does not kill insects,-,-,
36,Nutrition,4.07,autotrophic,-,-,
37,Drought Tolerance,4.081,2.21,,,
38,Life-form,5.01,phanerophyte,-,-,
39,Mono/poly-carpic,5.04,polycarpic,-,-,
40,Vegetative reproduction/persistence: 1. method,5.05,none,-,-,
41,Vegetative reproduction/persistence: 2. pattern,5.06,no ramets,-,-,
42,Flowering time: 1. earliest month,5.07,7,-,-,
43,Flowering time: 2. latest month,5.08,9,-,-,
44,Pollen vector,5.15,insect,-,-,
45,Dicliny,5.16,hermaphrodite,-,-,
46,Chromosome number(s): 1. number,5.25,80,,-,
47,2C DNA content (pg),5.26,5.8,2n=80,,
48,2C DNA content (pg),5.26,5.80,,,
49,Time of seed dispersal (season),5.28,spring,-,-,
50,Seed weight: 3. mean (mg),5.34,6.1,-,-,
51,Seed weight: 3. mean (mg),5.34,6.38,,,
52,Normal method of propagation,5.52,seed,-,-,
53,Seedbank type,5.53,long-term persistent,-,-,
54,Seedbank type,5.53,"seedbank present, type uncertain",-,-,
55,Maximum seedbank density (m2),5.54,707,-,-,
56,Minimum seedbank density (m2),5.55,126,-,-,
57,Mean seedbank density (m2),5.56,369,-,-,
58,Flower colour,5.58,yellow,,,
59,Petal no,5.59,5,2 fused,,
60,Petal (sepal) size (cm),5.6,1.4,1.1-1.7,standard,
61,Stigma number,5.61,1,,,
62,Stamen number,5.62,10,all fused,,
63,Sepal number,5.63,5,,,
64,Carpel/Style number,5.64,1,,,
65,Inflorescence type,5.65,cluster,,lateral,
66,Physical defences on stems,6.03,hairy,-,-,
67,Physical defences on stems,6.03,spines,-,-,
68,Rarity Status,7.02,Present,,,
69,Change Index,7.03,0.20,,,
70,Biome,7.04,Temperate,,,
71,Eastern Limit,7.05,Oceanic,,,
72,Continentality,7.06,Not continental,,,
73,Northern Limit in Britain,7.07,Yes,,,
74,"Northern European Limit (Lat,5C band)",7.08,55-60,,,
75,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
76,Southern European Limit,7.1,No,,,
77,January mean temperature,7.11,4.1,,,
78,July mean temperature,7.12,15,,,
79,Annual precipitation,7.13,1099,,,
80,Ellenberg Indicator: Light,7.14,7,,,
81,Ellenberg : Moisture,7.15,6,,,
82,Ellenberg: pH,7.16,3,,,
83,Ellenberg Indicator: Nitrogen,7.17,2,,,
84,Ellenberg Indicator: Salt,7.18,0,,,
85,Life Form: normal state,7.19,Nanophanerophyte,,,
86,Clonality: normal state,7.21,Little or no vegetative spread,,,
