,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,-,
1,Water nutrients,1.01A,oligotrophic,-,-,
2,Soil pH: 1. extreme maximum,1.06,7.38,-,-,
3,Water pH: 1. extreme maximum,1.06A,6.8,-,-,
4,Soil pH: 2. extreme minimum,1.07,4.62,-,-,
5,Water pH: 2. extreme minimum,1.07A,4.13,-,-,
6,Soil pH: 3. typical maximum,1.08,6.51,-,-,
7,Water pH: 3. typical maximum,1.08A,6.5,-,-,
8,Soil pH: 4. typical minimum,1.09,5.15,-,-,
9,Water pH: 4. typical minimum,1.09A,5.12,-,-,
10,Shade,1.10,none,-,-,
11,Altitude: 1. maximum recorded (m),1.12,685,-,-,
12,Altitude: 2. minimum recorded (m),1.13,0,-,-,
13,Altitude: 4. typical minimum (m),1.14,0,-,-,
14,Flow,1.15A,nil,-,-,
15,Flow,1.15A,slight,-,-,
16,Status,2.01,native,-,-,
17,Typical abundance where naturally occurring,2.02,scattered,-,-,
18,Dynamics,2.03,declining,-,-,
19,First historical record: 1. date,2.04,1677,-,-,
20,Range: 3. continents where native,2.11,Africa,-,-,
21,Range: 3. continents where native,2.11,Asia,-,-,
22,Range: 3. continents where native,2.11,Europe,-,-,
23,Range: 3. continents where native,2.11,North America,-,-,
24,SN Index,2.13,5.79,-,-,
25,EW Index,2.14,5.78,-,-,
26,number of European countries in which native,2.17,24,-,-,
27,Stems: 1. woodiness,3.01,non-woody,-,-,
28,Leaf position,3.02A,floating,-,-,
29,Leaf position,3.02A,submerged,-,-,
30,Height: 3. typical maximum (cm),3.05,25,-,-,
31,Height: 4. typical minimum (cm),3.06,7,-,-,
32,Spread,3.07,height = width,-,-,
33,Heterophylly,3.08,developmental,-,-,
34,Leaf shape: 1. type,3.09,compound,-,-,
35,Leaf shape: 2. outline,3.10,lobed,-,-,
36,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
37,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
38,Leaf shape: 5. leaf base,3.13,not applicable,compound leaves,-,
39,Leaf shape: 6. petiole,3.14,petiolate,-,-,
40,Root system,3.24,absent,-,-,
41,Photosynthetic pathway,4.02,C3,-,-,
42,Heavy metal resistance,4.05,none,-,-,
43,Carnivory,4.06,traps,-,-,
44,Nutrition,4.07,autotrophic,-,-,
45,Life-form,5.01,hydrophyte,-,-,
46,Vegetative reproduction/persistence: 1. method,5.05,turions,-,-,
47,Flowering time: 1. earliest month,5.07,6,-,-,
48,Flowering time: 2. latest month,5.08,9,-,-,
49,Pollen vector,5.15,insect,-,-,
50,Dicliny,5.16,hermaphrodite,-,-,
51,Chromosome number(s): 1. number,5.25,c. 40,,-,
52,Dispersal agent,5.38,water,-,-,
53,Normal method of propagation,5.52,vegetative,-,-,
54,Seedbank type,5.53,transient,-,-,
55,Flower colour,5.58,0.7,0.6-0.8,,
56,Flower colour,5.58,pale yellow,,,
57,Petal no,5.59,5,,"fused, 2 lipped",
58,Stigma number,5.61,1,,,
59,Stamen number,5.62,2,,,
60,Sepal number,5.63,5,,,
61,Carpel/Style number,5.64,0,,,
62,Inflorescence type,5.65,raceme,,scapigerous,
63,Rarity Status,7.02,Present,,,
64,Change Index,7.03,0.20,,,
65,Biome,7.04,Boreo-Temperate,,,
66,Eastern Limit,7.05,Circumpolar,,,
67,Continentality,7.06,Not continental,,,
68,Northern Limit in Britain,7.07,No,,,
69,"Northern European Limit (Lat,5C band)",7.08,>65,,,
70,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
71,Southern European Limit,7.10,No,,,
72,January mean temperature,7.11,3.6,,,
73,July mean temperature,7.12,14,,,
74,Annual precipitation,7.13,1321,,,
75,Ellenberg Indicator: Light,7.14,8,,,
76,Ellenberg Indicator: Light,7.14,8,,Data calculated for the Czech Republic,
77,Ellenberg Indicator: Light,7.14,8,,Data calculated for Europe,
78,Ellenberg : Moisture,7.15,12,,,
79,Ellenberg : Moisture,7.15,12,,Data calculated for the Czech Republic,
80,Ellenberg : Moisture,7.15,12,,Data calculated for Europe,
81,Ellenberg: pH,7.16,4,,,
82,Ellenberg: pH,7.16,5,,Data calculated for the Czech Republic,
83,Ellenberg: pH,7.16,6,,Data calculated for Europe,
84,Ellenberg Indicator: Nitrogen,7.17,2,,,
85,Ellenberg Indicator: Nitrogen,7.17,2,,Data calculated for the Czech Republic,
86,Ellenberg Indicator: Nitrogen,7.17,2,,Data calculated for Europe,
87,Ellenberg Indicator: Salt,7.18,0,,,
88,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
89,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
90,Life Form: normal state,7.19,Perennial hydrophyte,,,
91,Clonality: normal state,7.21,"Detaching ramets above ground, often axillary",,,
92,Ellenberg: Temperature,7.23,5,,Data calculated for the Czech Republic,
93,Ellenberg: Temperature,7.23,6,,Data calculated for Europe,
94,Ellenberg: Continetality,7.24,,,Data calculated for Europe,
