,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,infertile,-,-,
1,Shade,1.1,none,,-,
2,Status,2.01,native,-,-,
3,Dynamics,2.03,increasing,-,-,
4,First historical record: 1. date,2.04,1835,-,-,
5,First historical record: 2. site,2.05,"Ongar, Essex",-,-,
6,Range: 3. continents where native,2.11,Africa,-,-,
7,Range: 3. continents where native,2.11,Europe,-,-,
8,SN Index,2.13,.88,-,-,
9,EW Index,2.14,6.73,-,-,
10,number of European countries in which native,2.17,25,-,-,
11,Stems: 1. woodiness,3.01,non-woody,-,-,
12,Stems: 2. support,3.02,self-supporting,-,-,
13,Height: 3. typical maximum (cm),3.05,40,-,-,
14,Height: 4. typical minimum (cm),3.06,7,-,-,
15,Spread,3.07,height > width,-,-,
16,Heterophylly,3.08,none,-,-,
17,Leaf shape: 1. type,3.09,simple,-,-,
18,Leaf shape: 2. outline,3.1,entire,-,-,
19,Leaf shape: 3. pointed/round,3.11,rounded,-,-,
20,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
21,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
22,Leaf shape: 5. leaf base,3.13,cuneate,-,-,
23,Leaf shape: 6. petiole,3.14,sessile,-,-,
24,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
25,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
26,Leaf area (cm2),3.17,1-10,-,-,
27,Photosynthetic pathway,4.02,C3,-,-,
28,Heavy metal resistance,4.05,none,-,-,
29,Carnivory,4.06,does not kill insects,-,-,
30,Nutrition,4.07,autotrophic,-,-,
31,Life-form,5.01,therophyte,-,-,
32,Longevity of stems (yrs),5.02,<1,-,-,
33,Vegetative reproduction/persistence: 1. method,5.05,none,-,-,
34,Vegetative reproduction/persistence: 2. pattern,5.06,no ramets,-,-,
35,Flowering time: 1. earliest month,5.07,4,-,-,
36,Flowering time: 2. latest month,5.08,6,-,-,
37,Pollen vector,5.15,selfed,-,-,
38,Dicliny,5.16,hermaphrodite,-,-,
39,Fertilization,5.19,normally self,-,-,
40,Incompatibility systems,5.22,none,-,-,
41,Chromosome number(s): 1. number,5.25,16,,-,
42,Dispersule size - length of longest axis (mm),5.3,2.0,fruit,-,
43,Seed size - length of longest axis (mm),5.31,2.0,fruit,-,
44,Seed weight: 3. mean (mg),5.34,0.57,,,
45,Normal method of propagation,5.52,seed,-,-,
46,Flower colour,5.58,pale lilac,,,
47,Petal no,5.59,5,,,
48,Petal (sepal) size (cm),5.6,small,,,
49,Stigma number,5.61,3,,,
50,Stamen number,5.62,3,,,
51,Sepal number,5.63,0,,toothed rim,
52,Carpel/Style number,5.64,1,,,
53,Inflorescence type,5.65,cyme,,"terminal, paniculate, sometimes corymbose",
54,Physical defences on leaves,6.02,glabrous,-,-,
55,Physical defences on stems,6.03,glabrous,-,-,
56,Change Index,7.03,2.15,,,
57,Biome,7.04,Southern Temperate,,,
58,Eastern Limit,7.05,European,,,
59,Continentality,7.06,Not continental,,,
60,Northern Limit in Britain,7.07,No,,,
61,Southern European Limit,7.1,No Data,,,
62,January mean temperature,7.11,4.3,,,
63,July mean temperature,7.12,16,,,
64,Annual precipitation,7.13,931,,,
65,Ellenberg Indicator: Light,7.14,7,,Data calculated for the Czech Republic,
66,Ellenberg Indicator: Light,7.14,7,,Data calculated for Europe,
67,Ellenberg Indicator: Light,7.14,8,,,
68,Ellenberg : Moisture,7.15,4,,,
69,Ellenberg : Moisture,7.15,4,,Data calculated for the Czech Republic,
70,Ellenberg : Moisture,7.15,4,,Data calculated for Europe,
71,Ellenberg: pH,7.16,8,,,
72,Ellenberg: pH,7.16,8,,Data calculated for the Czech Republic,
73,Ellenberg: pH,7.16,8,,Data calculated for Europe,
74,Ellenberg Indicator: Nitrogen,7.17,4,,,
75,Ellenberg Indicator: Nitrogen,7.17,5x,,Data calculated for the Czech Republic,
76,Ellenberg Indicator: Nitrogen,7.17,,,Data calculated for Europe,
77,Ellenberg Indicator: Salt,7.18,0,,,
78,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
79,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
80,Life Form: normal state,7.19,Therophyte,,,
81,Clonality: normal state,7.21,Little or no vegetative spread,,,
82,Ellenberg: Temperature,7.23,7,,Data calculated for the Czech Republic,
83,Ellenberg: Temperature,7.23,7,,Data calculated for Europe,
84,Ellenberg: Continetality,7.24,3,,Data calculated for Europe,
