,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,infertile,-,-,
1,Shade,1.1,none,-,-,
2,Status,2.01,native,-,-,
3,First historical record: 1. date,2.04,1865,-,-,
4,First historical record: 2. site,2.05,Worcestershire,-,-,
5,Range: 3. continents where native,2.11,Africa,-,-,
6,Range: 3. continents where native,2.11,Europe,-,-,
7,SN Index,2.13,1.25,-,-,
8,EW Index,2.14,6.91,-,-,
9,number of European countries in which native,2.17,18,-,-,
10,Stems: 1. woodiness,3.01,non-woody,-,-,
11,Stems: 2. support,3.02,self-supporting,-,-,
12,Height: 3. typical maximum (cm),3.05,40,-,-,
13,Height: 4. typical minimum (cm),3.06,7,-,-,
14,Spread,3.07,height > width,-,-,
15,Heterophylly,3.08,none,-,-,
16,Leaf shape: 1. type,3.09,simple,-,-,
17,Leaf shape: 2. outline,3.1,entire,-,-,
18,Leaf shape: 3. pointed/round,3.11,rounded,-,-,
19,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
20,Leaf shape: 4. length versus breadth,3.12,>3 times as long as wide,-,-,
21,Leaf shape: 5. leaf base,3.13,cuneate,-,-,
22,Leaf shape: 6. petiole,3.14,sessile,-,-,
23,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
24,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
25,Leaf area (cm2),3.17,1-10,-,-,
26,Photosynthetic pathway,4.02,C3,-,-,
27,Heavy metal resistance,4.05,none,-,-,
28,Carnivory,4.06,does not kill insects,-,-,
29,Nutrition,4.07,autotrophic,-,-,
30,Life-form,5.01,therophyte,-,-,
31,Longevity of stems (yrs),5.02,<1,-,-,
32,Vegetative reproduction/persistence: 1. method,5.05,none,-,-,
33,Vegetative reproduction/persistence: 2. pattern,5.06,no ramets,-,-,
34,Flowering time: 1. earliest month,5.07,6,-,-,
35,Flowering time: 2. latest month,5.08,7,-,-,
36,Pollen vector,5.15,selfed,-,-,
37,Dicliny,5.16,hermaphrodite,-,-,
38,Fertilization,5.19,normally self,-,-,
39,Incompatibility systems,5.22,none,-,-,
40,Chromosome number(s): 1. number,5.25,16,,-,
41,2C DNA content (pg),5.26,0.47,,,
42,2C DNA content (pg),5.26,0.47,2n=16,,
43,Seed weight: 3. mean (mg),5.34,0.5883,,,
44,Normal method of propagation,5.52,seed,-,-,
45,Flower colour,5.58,pale lilac,,,
46,Petal no,5.59,5,,,
47,Petal (sepal) size (cm),5.6,small,,,
48,Stigma number,5.61,3,,,
49,Stamen number,5.62,3,,,
50,Sepal number,5.63,0,,toothed rim,
51,Carpel/Style number,5.64,1,,,
52,Inflorescence type,5.65,cyme,,"terminal, paniculate, sometimes corymbose",
53,Physical defences on leaves,6.02,glabrous,-,-,
54,Physical defences on stems,6.03,glabrous,-,-,
55,Physical defences on flowers/fruits,6.04,stiff hairs,fruit,-,
56,Change Index,7.03,-0.69,,,
57,Biome,7.04,Mediterranean-Atlantic,,,
58,Eastern Limit,7.05,Suboceanic,,,
59,Continentality,7.06,Not continental,,,
60,Northern Limit in Britain,7.07,Yes,,,
61,"Northern European Limit (Lat,5C band)",7.08,50-55,,,
62,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
63,Southern European Limit,7.1,No,,,
64,January mean temperature,7.11,4.5,,,
65,July mean temperature,7.12,16,,,
66,Annual precipitation,7.13,826,,,
67,Ellenberg Indicator: Light,7.14,8,,,
68,Ellenberg : Moisture,7.15,3,,,
69,Ellenberg: pH,7.16,8,,,
70,Ellenberg Indicator: Nitrogen,7.17,3,,,
71,Ellenberg Indicator: Salt,7.18,0,,,
72,Life Form: normal state,7.19,Therophyte,,,
73,Clonality: normal state,7.21,Little or no vegetative spread,,,
