,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,infertile,,-,
1,Shade,1.1,none,,-,
2,Altitude: 1. maximum recorded (m),1.12,304,-,-,
3,Altitude: 2. minimum recorded (m),1.13,0,-,-,
4,Altitude: 4. typical minimum (m),1.14,0,-,-,
5,Status,2.01,native,-,-,
6,Typical abundance where naturally occurring,2.02,frequent,-,-,
7,First historical record: 1. date,2.04,1538,-,-,
8,Range: 3. continents where native,2.11,Asia,-,-,
9,Range: 3. continents where native,2.11,Europe,-,-,
10,Range: 3. continents where native,2.11,North America,-,-,
11,SN Index,2.13,2.65,-,-,
12,EW Index,2.14,4.48,-,-,
13,number of European countries in which native,2.17,26,-,-,
14,Medicinal Use,2.18,boils,,,
15,Medicinal Use,2.18,colds,,,
16,Medicinal Use,2.18,coughs,,,
17,Medicinal Use,2.18,kidney ailments,,,
18,Medicinal Use,2.18,rheumatism,,,
19,Medicinal Use,2.18,tuberculosis,,,
20,Stems: 1. woodiness,3.01,non-woody,-,-,
21,Stems: 2. support,3.02,self-supporting,-,-,
22,Height: 3. typical maximum (cm),3.05,200,-,-,
23,Height: 4. typical minimum (cm),3.06,30,-,-,
24,Spread,3.07,height > width,-,-,
25,Heterophylly,3.08,none,-,-,
26,Leaf shape: 1. type,3.09,simple,-,-,
27,Leaf shape: 2. outline,3.1,crenate,-,-,
28,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
29,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
30,Leaf shape: 5. leaf base,3.13,cuneate,-,-,
31,Leaf shape: 6. petiole,3.14,petiolate,-,-,
32,Leaf shape: 6. petiole,3.14,sessile,-,-,
33,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
34,Leaf area (cm2),3.17,100-1000,-,-,
35,Stomata: 1. surfaces present,3.19,both,-,-,
36,Stomata: 2. density on lower surface(no/mm2),3.2,140,range 137-144,-,
37,Stomata: 2. density on lower surface(no/mm2),3.2,166,-,-,
38,Stomata: 3. density on upper surface (no/mm2),3.21,10,-,-,
