,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,infertile,-,-,
1,Shade,1.1,none,-,-,
2,Altitude: 1. maximum recorded (m),1.12,457,-,-,
3,Altitude: 2. minimum recorded (m),1.13,0,-,-,
4,Altitude: 4. typical minimum (m),1.14,0,-,-,
5,Status,2.01,native,-,-,
6,Typical abundance where naturally occurring,2.02,scattered,-,-,
7,Dynamics,2.03,declining,-,-,
8,First historical record: 1. date,2.04,1597,-,-,
9,Range: 3. continents where native,2.11,Africa,-,-,
10,Range: 3. continents where native,2.11,Asia,-,-,
11,Range: 3. continents where native,2.11,Europe,-,-,
12,SN Index,2.13,3.24,-,-,
13,EW Index,2.14,4.12,-,-,
14,number of European countries in which native,2.17,29,-,-,
15,Stems: 1. woodiness,3.01,non-woody,-,-,
16,Stems: 2. support,3.02,decumbent,-,-,
17,Height: 3. typical maximum (cm),3.05,30,-,-,
18,Spread,3.07,height = width,-,-,
19,Heterophylly,3.08,none,-,-,
20,Leaf shape: 1. type,3.09,simple,-,-,
21,Leaf shape: 2. outline,3.1,crenate,-,-,
22,Leaf shape: 3. pointed/round,3.11,rounded,-,-,
23,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
24,Leaf shape: 5. leaf base,3.13,truncate,-,-,
25,Leaf shape: 6. petiole,3.14,petiolate,-,-,
26,Leaf area (cm2),3.17,0.1-1,-,-,
27,Leaf longevity: 1. type,3.22,semi-evergreen,-,-,
28,Photosynthetic pathway,4.02,C3,-,-,
29,Heavy metal resistance,4.05,none,-,-,
30,Carnivory,4.06,does not kill insects,-,-,
31,Nutrition,4.07,autotrophic,-,-,
32,Life-form,5.01,therophyte,-,-,
33,Longevity of stems (yrs),5.02,<1,-,-,
34,Vegetative reproduction/persistence: 1. method,5.05,none,-,-,
35,Vegetative reproduction/persistence: 2. pattern,5.06,no ramets,-,-,
36,Flowering time: 1. earliest month,5.07,1,-,-,
37,Flowering time: 2. latest month,5.08,12,-,-,
38,Pollen vector,5.15,insect,-,-,
39,Dicliny,5.16,hermaphrodite,-,-,
40,Dichogamy,5.17,homogamous,-,-,
41,Fertilization,5.19,cross and self,-,-,
42,Cleistogamy,5.2,pseudo-cleistogamous,if deficient light,-,
43,Incompatibility systems,5.22,none,-,-,
44,Chromosome number(s): 1. number,5.25,28,,-,
45,2C DNA content (pg),5.26,1.46,,,
46,2C DNA content (pg),5.26,1.46,2n=28,,
47,Appendages on dispersal unit,5.27,elaiosome,-,-,
48,Dispersule size - length of longest axis (mm),5.3,1.5,seed,-,
49,Seed size - length of longest axis (mm),5.31,1.5,seed,-,
50,Seed weight: 3. mean (mg),5.34,0.269,,,
51,Seed weight: 3. mean (mg),5.34,0.6,-,-,
52,Seed production: 1. maximum (/flower),5.35,16,-,-,
53,Seed production: 2. typical range (/flower),5.36,1-10,-,-,
54,Seed production: 3. typical range (/plant),5.37,1000-10000,-,-,
55,Dispersal agent,5.38,ants,-,-,
56,Germination requirements 2. light,5.46,partial,-,-,
57,Normal method of propagation,5.52,seed,-,-,
58,Seedbank type,5.53,long-term persistent,-,-,
59,Seedbank type,5.53,"seedbank present, type uncertain",-,-,
60,Seedbank type,5.53,short-term persistent,-,-,
61,Maximum seedbank density (m2),5.54,1133,-,-,
62,Minimum seedbank density (m2),5.55,7,-,-,
63,Mean seedbank density (m2),5.56,288,-,-,
64,Flower colour,5.58,pale-blue,"white, pink",,
65,Petal no,5.59,4,,,
66,Petal (sepal) size (cm),5.6,0.3,0.2-0.4,,
67,Stigma number,5.61,1,,,
68,Stamen number,5.62,2,,,
69,Sepal number,5.63,4,3,upper lobe often missing,
70,Carpel/Style number,5.64,1,,,
71,Inflorescence type,5.65,solitary,,axillary,
72,Physical defences on leaves,6.02,soft hairs,-,-,
73,Physical defences on stems,6.03,soft hairs,-,-,
74,Change Index,7.03,-0.38,,,
75,Biome,7.04,Temperate,,,
76,Eastern Limit,7.05,European,,,
77,Continentality,7.06,Not continental,,,
78,Northern Limit in Britain,7.07,No,,,
79,Southern European Limit,7.1,No Data,,,
80,January mean temperature,7.11,3.5,,,
81,July mean temperature,7.12,15,,,
82,Annual precipitation,7.13,963,,,
83,Ellenberg Indicator: Light,7.14,6,,Data calculated for the Czech Republic,
84,Ellenberg Indicator: Light,7.14,6,,Data calculated for Europe,
85,Ellenberg Indicator: Light,7.14,7,,,
86,Ellenberg : Moisture,7.15,5,,Data calculated for the Czech Republic,
87,Ellenberg : Moisture,7.15,6,,,
88,Ellenberg : Moisture,7.15,6,,Data calculated for Europe,
89,Ellenberg: pH,7.16,6,,,
90,Ellenberg: pH,7.16,6,,Data calculated for the Czech Republic,
91,Ellenberg: pH,7.16,7,,Data calculated for Europe,
92,Ellenberg Indicator: Nitrogen,7.17,7,,,
93,Ellenberg Indicator: Nitrogen,7.17,7,,Data calculated for the Czech Republic,
94,Ellenberg Indicator: Nitrogen,7.17,7,,Data calculated for Europe,
95,Ellenberg Indicator: Salt,7.18,0,,,
96,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
97,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
98,Life Form: normal state,7.19,Therophyte,,,
99,Clonality: normal state,7.21,Little or no vegetative spread,,,
100,Ellenberg: Temperature,7.23,6,,Data calculated for the Czech Republic,
101,Ellenberg: Temperature,7.23,6,,Data calculated for Europe,
102,Ellenberg: Continetality,7.24,2,,Data calculated for Europe,
