,Name,Number,Value,Modifier,Notes,Subspecies
0,Status,2.01,naturalised,-,-,
1,number of European countries in which native,2.17,18,-,-,
2,Stems: 2. support,3.02,decumbent,-,-,
3,Stems: 2. support,3.02,self-supporting,-,-,
4,Height: 3. typical maximum (cm),3.05,50,-,-,
5,Leaf shape: 2. outline,3.1,toothed,-,-,
6,Leaf shape: 6. petiole,3.14,sessile,-,-,
7,Leaf shape: 7. minimum petiole length (mm),3.15,0,-,-,
8,Leaf shape: 8. maximum petiole length (mm),3.16,0,-,-,
9,Photosynthetic pathway,4.02,C3,-,-,
10,Heavy metal resistance,4.05,none,-,-,
11,Carnivory,4.06,does not kill insects,-,-,
12,Nutrition,4.07,autotrophic,-,-,
13,Chromosome number(s): 1. number,5.25,64,,-,
14,Seed weight: 3. mean (mg),5.34,0.2665,,,
15,Seedbank type,5.53,transient,-,-,
16,Flower colour,5.58,blue,,,
17,Petal no,5.59,4,,,
18,Petal (sepal) size (cm),5.6,0.675,0.5-0.75,,
19,Stigma number,5.61,1,,,
20,Stamen number,5.62,2,,,
21,Sepal number,5.63,4,3,upper lobe often missing,
22,Carpel/Style number,5.64,1,,,
23,Inflorescence type,5.65,raceme,,axillary,
24,Ellenberg Indicator: Light,7.14,8,,Data calculated for the Czech Republic,
25,Ellenberg Indicator: Light,7.14,8,,Data calculated for Europe,
26,Ellenberg : Moisture,7.15,3,,Data calculated for the Czech Republic,
27,Ellenberg : Moisture,7.15,3,,Data calculated for Europe,
28,Ellenberg: pH,7.16,8,,Data calculated for the Czech Republic,
29,Ellenberg: pH,7.16,9,,Data calculated for Europe,
30,Ellenberg Indicator: Nitrogen,7.17,2,,Data calculated for Europe,
31,Ellenberg Indicator: Nitrogen,7.17,3,,Data calculated for the Czech Republic,
32,Ellenberg Indicator: Salt,7.18,0,,Data calculated for the Czech Republic,
33,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
34,Ellenberg: Temperature,7.23,6,,Data calculated for Europe,
35,Ellenberg: Temperature,7.23,7,,Data calculated for the Czech Republic,
36,Ellenberg: Continetality,7.24,6,,Data calculated for Europe,
