,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,-,
1,Shade,1.1,light,-,-,
2,Shade,1.1,none,-,-,
3,Altitude: 1. maximum recorded (m),1.12,381,-,-,
4,Altitude: 2. minimum recorded (m),1.13,0,-,-,
5,Altitude: 4. typical minimum (m),1.14,0,-,-,
6,Status,2.01,native,-,-,
7,Typical abundance where naturally occurring,2.02,frequent,-,-,
8,Dynamics,2.03,increasing,-,-,
9,First historical record: 1. date,2.04,1597,-,-,
10,Range: 3. continents where native,2.11,Africa,-,-,
11,Range: 3. continents where native,2.11,Asia,-,-,
12,Range: 3. continents where native,2.11,Europe,-,-,
13,Range: 4. continents where introduced,2.12,North America,-,-,
14,SN Index,2.13,2.61,-,-,
15,EW Index,2.14,4.21,-,-,
16,number of European countries in which native,2.17,29,-,-,
17,Stems: 1. woodiness,3.01,non-woody,-,-,
18,Stems: 2. support,3.02,decumbent,-,-,
19,Height: 3. typical maximum (cm),3.05,60,-,-,
20,Height: 4. typical minimum (cm),3.06,10,-,-,
21,Spread,3.07,height < width,-,-,
22,Heterophylly,3.08,none,-,-,
23,Leaf shape: 1. type,3.09,simple,-,-,
24,Leaf shape: 2. outline,3.1,lobed,-,-,
25,Leaf shape: 3. pointed/round,3.11,rounded,-,-,
26,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
27,Leaf shape: 4. length versus breadth,3.12,length = width,-,-,
28,Leaf shape: 5. leaf base,3.13,cuneate,-,-,
29,Leaf shape: 5. leaf base,3.13,rounded,-,-,
30,Leaf shape: 5. leaf base,3.13,truncate,-,-,
31,Leaf shape: 6. petiole,3.14,petiolate,-,-,
32,Leaf area (cm2),3.17,0.1-1,-,-,
33,Leaf longevity: 1. type,3.22,vernal,-,-,
34,Fine root diameter (um),3.27,150-200,-,-,
35,Photosynthetic pathway,4.02,C3,-,-,
36,Heavy metal resistance,4.05,none,-,-,
37,Carnivory,4.06,does not kill insects,-,-,
38,Nutrition,4.07,autotrophic,-,-,
39,Response to frost (seedlings),4.1,resistant,-,-,
40,Life-form,5.01,therophyte,-,-,
41,Longevity of stems (yrs),5.02,<1,-,-,
42,Mono/poly-carpic,5.04,monocarpic,-,-,
43,Vegetative reproduction/persistence: 1. method,5.05,none,-,-,
44,Vegetative reproduction/persistence: 2. pattern,5.06,no ramets,-,-,
45,Flowering time: 1. earliest month,5.07,3,-,-,
46,Flowering time: 2. latest month,5.08,8,-,-,
47,Pollen vector,5.15,insect,-,-,
48,Dicliny,5.16,hermaphrodite,-,-,
49,Dichogamy,5.17,homogamous,-,-,
50,Fertilization,5.19,cross and self,-,-,
51,Cleistogamy,5.2,pseudo-cleistogamous,if deficient light,-,
52,Incompatibility systems,5.22,none,-,-,
53,Chromosome number(s): 1. number,5.25,36,,-,
54,Chromosome number(s): 1. number,5.25,54,,-,
55,2C DNA content (pg),5.26,2.82,,,
56,2C DNA content (pg),5.26,2.82,2n=54,,
57,Appendages on dispersal unit,5.27,elaiosome,-,-,
58,Time of seed dispersal (season),5.28,summer,-,-,
59,Dispersule size - length of longest axis (mm),5.3,2.5,seed,-,
60,Seed size - length of longest axis (mm),5.31,2.5,seed,-,
61,Seed weight: 1. maximum (mg),5.32,8.0,-,-,
62,Seed weight: 2. minimum (mg),5.33,4.0,-,-,
63,Seed weight: 3. mean (mg),5.34,3.91,-,-,
64,Seed weight: 3. mean (mg),5.34,4,,,
65,Seed production: 1. maximum (/flower),5.35,4,-,-,
66,Seed production: 2. typical range (/flower),5.36,1-10,-,-,
67,Seed production: 3. typical range (/plant),5.37,10-100,-,-,
68,Dispersal agent,5.38,ants,-,-,
69,Time of germination (season),5.39,autumn,-,-,
70,Time of germination (season),5.39,spring,-,-,
71,Time of germination (season),5.39,winter,-,-,
72,After-ripening requirement,5.4,absolute,-,-,
73,Maximum temperature of germination,5.41,20,-,-,
74,Germination requirements 1. chilling,5.45,absolute,-,-,
75,Germination requirements 2. light,5.46,none,-,-,
76,Germination requirements 2. light,5.46,partial,-,-,
77,Germination requirements 3. temperature fluctuation,5.47,none,-,-,
78,Seedbank density: recorded values,5.51,2287.9,-,-,
79,Seedbank density: recorded values,5.51,474,in arable land,-,
80,Normal method of propagation,5.52,seed,-,-,
81,Seedbank type,5.53,long-term persistent,-,-,
82,Seedbank type,5.53,"seedbank present, type uncertain",-,-,
83,Seedbank type,5.53,short-term persistent,-,-,
84,Seedbank type,5.53,transient,-,-,
85,Maximum seedbank density (m2),5.54,2288,-,-,
86,Minimum seedbank density (m2),5.55,6,-,-,
87,Mean seedbank density (m2),5.56,293.2,-,-,
88,Flower colour,5.58,lilac,,,
89,Petal no,5.59,4,,,
90,Petal (sepal) size (cm),5.6,0.3,,,
91,Stigma number,5.61,1,,,
92,Stamen number,5.62,2,,,
93,Sepal number,5.63,4,3,upper lobe often missing,
94,Carpel/Style number,5.64,1,,,
95,Inflorescence type,5.65,solitary,,axillary,
96,Physical defences on leaves,6.02,hairy,lower epidermis,-,
97,Physical defences on stems,6.03,hairy,-,-,
98,Change Index,7.03,0.57,,,
99,Biome,7.04,Southern Temperate,,,
100,Eastern Limit,7.05,European,,,
101,Continentality,7.06,Not continental,,,
102,Northern Limit in Britain,7.07,No,,,
103,Southern European Limit,7.1,No Data,,,
104,January mean temperature,7.11,3.7,,,
105,July mean temperature,7.12,15,,,
106,Annual precipitation,7.13,918,,,
107,Ellenberg Indicator: Light,7.14,6,,,
