,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,,,
1,Soil moisture: 1. water table,1.02,,moist,,
2,Soil moisture: 2. drainage,1.03,free draining,,,
3,Shade,1.1,none,some,,
4,Range: 3. continents where native,2.11,"Mediterranean, S. Europe",,,
5,Stems: 1. woodiness,3.01,woody,,,
6,Stems: 2. support,3.02,self supporting,,,
7,Height: 1. extreme maximum (cm),3.03,600,,,
8,Height: 3. typical maximum (cm),3.05,300,,,
9,Spread,3.07,heght == width,,,
10,Heterophylly,3.08,none,,,
11,Leaf shape: 1. type,3.09,simple,,,
12,Leaf shape: 2. outline,3.1,entire,,,
13,Leaf shape: 4. length versus breadth,3.12,1-3 x as long as broad,,,
14,Leaf shape: 6. petiole,3.14,petiolate,,,
15,Leaf area (cm2),3.17,10-100,,,
16,Carnivory,4.06,does not kill insects,,,
17,Nutrition,4.07,autotrophic,,,
18,Life-form,5.01,phanerophyte,Micro-,,
19,Mono/poly-carpic,5.04,polycarpic,,,
20,Vegetative reproduction/persistence: 1. method,5.05,none,,,
21,Flowering time: 1. earliest month,5.07,11,,,
22,Flowering time: 2. latest month,5.08,3,,,
23,Flowering time: 3. peak month,5.09,1,,,
24,Chromosome number(s): 1. number,5.25,36,,,
25,Appendages on dispersal unit,5.27,none,,,
26,Appendages on dispersal unit,5.27,none,,,
27,Time of seed dispersal (season),5.28,autumn,,,
28,Time of seed dispersal (season),5.28,Summer,,,
29,Dispersule size - length of longest axis (mm),5.3,6,,,
30,Seed weight: 3. mean (mg),5.34,50.65,,,
31,Seed weight: 3. mean (mg),5.34,61.3,,,
32,Seed production: 1. maximum (/flower),5.35,1,,,
33,Seed production: 2. typical range (/flower),5.36,1,,,
34,Dispersal agent,5.38,birds,,,
35,Time of germination (season),5.39,spring,,,
36,Germination requirements 1. chilling,5.45,none,,,
37,Seed viability,5.49,high,,,
38,Normal method of propagation,5.52,seed,,,
39,Flower colour,5.58,white,pink,,
40,Petal no,5.59,5,,,
41,Stigma number,5.61,3,,,
42,Stamen number,5.62,5,,,
43,Sepal number,5.63,5,,,
44,Carpel/Style number,5.64,0,,,
45,Inflorescence type,5.65,corymbose compound cyme,,,
46,Inflorescence type,5.65,corymbose cyme,,,
47,Physical defences on leaves,6.02,glabrous,,,
48,Physical defences on stems,6.03,glabrous,,,
49,Physical defences on flowers/fruits,6.04,glabrous,,,
50,Physical defences on buds,6.05,glabrous,,,
