,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil moisture: 2. drainage,1.03,free draining,,,
1,Soil pH: 3. typical maximum,1.08,,neutral,,
2,Soil pH: 4. typical minimum,1.09,,acid,,
3,Range: 1. european countries where native,2.09,"Al, Au, Bel, Bu, Cy, Cz(former), Est, Fr, Deu, Gr, Hu, It, Li, Ne, Po, Por Rus,Esp, He, Ukr Yug(former)",,,
4,Range: 2. european countries where introduced,2.1,"Be, De, Fi, Lat, No, UK",,,
5,Range: 3. continents where native,2.11,"Eu, Central Asia, N. Africa",,,
6,Range: 4. continents where introduced,2.12,"Oceania, S.America, Central America,N America, E. Asia",,,
7,Stems: 1. woodiness,3.01,not woody,,,
8,Stems: 2. support,3.02,scrambling,,,
9,Height: 1. extreme maximum (cm),3.03,200,,,
10,Height: 3. typical maximum (cm),3.05,60,,,
11,Spread,3.07,ht < width,,,
12,Heterophylly,3.08,none,,,
13,Leaf shape: 1. type,3.09,compound,,,
14,Leaf shape: 2. outline,3.1,entire,,,
15,Leaf shape: 3. pointed/round,3.11,acute,"obtuse, mucronulate",leaflets,
16,Leaf shape: 4. length versus breadth,3.12,1-3 x as long as broad,,,
17,Leaf shape: 6. petiole,3.14,petiolate,short,,
18,Carnivory,4.06,does not kill insects,,,
19,Nutrition,4.07,autotrophic,,,
20,Life-form,5.01,hemicryptophyte,proto-,,
21,Longevity of stems (yrs),5.02,< 1,,can be biennial,
22,Mono/poly-carpic,5.04,monocarpic,,,
23,Vegetative reproduction/persistence: 1. method,5.05,none,,,
24,Pollen vector,5.15,insects,bumblebees,,
25,Dicliny,5.16,hermaphrodite,,,
26,Fertilization,5.19,normally cross,,,
27,Chromosome number(s): 1. number,5.25,14,,,
28,2C DNA content (pg),5.26,4.55,,,
29,2C DNA content (pg),5.26,5.44,,,
30,Appendages on dispersal unit,5.27,none,,,
31,Seed weight: 1. maximum (mg),5.32,4.2,3.4-5,,
32,Seed weight: 3. mean (mg),5.34,34.8,,,
33,Seed weight: 3. mean (mg),5.34,35.2948,,,
34,Seed weight: 3. mean (mg),5.34,36.52,,,
35,Seed weight: 3. mean (mg),5.34,39.1,,,
36,Seed production: 1. maximum (/flower),5.35,8,,,
37,Seed production: 2. typical range (/flower),5.36,1-10,2-8,,
38,Dispersal agent,5.38,unspecialised,,,
39,Normal method of propagation,5.52,seed,,,
40,Flower colour,5.58,blue,"purple, violet, white, yellow",,
41,Petal no,5.59,5,two fused,,
42,Petal (sepal) size (cm),5.6,1.5,1-2,standard,
43,Stigma number,5.61,1,,,
44,Stamen number,5.62,10,,,
45,Sepal number,5.63,5,,,
46,Carpel/Style number,5.64,1,,,
47,Inflorescence type,5.65,raceme,,axillary,
48,Physical defences on leaves,6.02,pubescent,,,
49,Physical defences on stems,6.03,pubescent,,,
50,Physical defences on flowers/fruits,6.04,pubescent,,,
51,Physical defences on buds,6.05,pubescent,,,
52,Ellenberg Indicator: Light,7.14,7,,Data calculated for the Czech Republic,
53,Ellenberg Indicator: Light,7.14,7,,Data calculated for Europe,
54,Ellenberg : Moisture,7.15,3,,Data calculated for the Czech Republic,
55,Ellenberg : Moisture,7.15,4,,Data calculated for Europe,
56,Ellenberg: pH,7.16,6,,Data calculated for the Czech Republic,
57,Ellenberg: pH,7.16,6,,Data calculated for Europe,
58,Ellenberg Indicator: Nitrogen,7.17,5,,Data calculated for the Czech Republic,
59,Ellenberg Indicator: Nitrogen,7.17,5,,Data calculated for Europe,
60,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
61,Ellenberg Indicator: Salt,7.18,1,,Data calculated for the Czech Republic,
62,Ellenberg: Temperature,7.23,6,,Data calculated for the Czech Republic,
63,Ellenberg: Temperature,7.23,6,,Data calculated for Europe,
64,Ellenberg: Continetality,7.24,5,,Data calculated for Europe,
