,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,fertile,-,-,
1,Soil nutrients,1.01,infertile,-,-,
2,Shade,1.1,light,-,-,
3,Shade,1.1,none,-,-,
4,Altitude: 1. maximum recorded (m),1.12,594,-,-,
5,Altitude: 2. minimum recorded (m),1.13,0,-,-,
6,Altitude: 4. typical minimum (m),1.14,0,-,-,
7,Status,2.01,native,-,-,
8,Typical abundance where naturally occurring,2.02,frequent,-,-,
9,Dynamics,2.03,declining,-,-,
10,First historical record: 1. date,2.04,1666,-,-,
11,First historical record: 2. site,2.05,"Charlton, London",-,-,
12,Range: 3. continents where native,2.11,Europe,-,-,
13,SN Index,2.13,2.09,-,-,
14,EW Index,2.14,4.22,-,-,
15,number of European countries in which native,2.17,24,-,-,
16,Stems: 1. woodiness,3.01,non-woody,-,-,
17,Stems: 2. support,3.02,self-supporting,-,-,
18,Height: 3. typical maximum (cm),3.05,8,,,
19,Spread,3.07,height < width,-,-,
20,Heterophylly,3.08,none,-,-,
21,Leaf shape: 1. type,3.09,simple,-,-,
22,Leaf shape: 2. outline,3.1,crenate,-,-,
23,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
24,Leaf shape: 3. pointed/round,3.11,rounded,-,-,
25,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
26,Leaf shape: 5. leaf base,3.13,cordate,-,-,
27,Leaf shape: 6. petiole,3.14,petiolate,-,-,
28,Leaf area (cm2),3.17,10-100,-,-,
29,Stomata: 1. surfaces present,3.19,both,-,-,
30,Stomata: 2. density on lower surface(no/mm2),3.2,201,-,-,
31,Stomata: 3. density on upper surface (no/mm2),3.21,56,-,-,
32,Leaf longevity: 1. type,3.22,evergreen,-,-,
33,Root system,3.24,adventitious,from rhizome,-,
34,Root depth: 1. type,3.25,shallow,-,-,
35,Root depth: 2. depth (cm),3.26,10-50,-,-,
36,Root hairs,3.28,present,uneven distribution - 220/mm,-,
37,Photosynthetic pathway,4.02,C3,-,-,
38,Heavy metal resistance,4.05,none,-,-,
39,Carnivory,4.06,does not kill insects,-,-,
40,Nutrition,4.07,autotrophic,-,-,
41,Life-form,5.01,hemicryptophyte,-,-,
42,Longevity of stems (yrs),5.02,<1,-,-,
43,Mono/poly-carpic,5.04,polycarpic,-,-,
44,Vegetative reproduction/persistence: 1. method,5.05,rhizomes,-,-,
45,Flowering time: 1. earliest month,5.07,4,-,-,
46,Flowering time: 2. latest month,5.08,5,-,-,
47,Flowering time: 3. peak month,5.09,4,-,-,
48,Photoperiodism: 1. type,5.1,day-neutral,-,-,
49,Pollen: 2. diameter (um),5.13,30,25.5-34.5um,-,
50,Pollen: 2. diameter (um),5.13,37,-,-,
51,Pollen vector,5.15,insect,-,-,
52,Dicliny,5.16,hermaphrodite,-,-,
53,Dichogamy,5.17,homogamous,-,-,
54,Cleistogamy,5.2,some cleistogamous flowers,-,-,
55,Incompatibility systems,5.22,none,-,-,
56,Chromosome number(s): 1. number,5.25,20,,-,
57,2C DNA content (pg),5.26,3.02,,,
58,2C DNA content (pg),5.26,3.02,2n=40,,
59,Appendages on dispersal unit,5.27,elaiosome,,-,
60,Time of seed dispersal (season),5.28,summer,-,-,
61,Dispersule size - length of longest axis (mm),5.3,4.0,seed,-,
62,Seed size - length of longest axis (mm),5.31,4.0,seed,-,
63,Seed weight: 3. mean (mg),5.34,2.81,-,-,
64,Seed weight: 3. mean (mg),5.34,3.3,,,
65,Seed production: 3. typical range (/plant),5.37,10-100,-,-,
66,Dispersal agent,5.38,ants,-,-,
67,Time of germination (season),5.39,spring,-,-,
68,Germination requirements 1. chilling,5.45,absolute,-,-,
69,Germination type,5.48,epigeal,-,-,
70,Normal method of propagation,5.52,seed and vegetative,-,-,
71,Seedbank type,5.53,"seedbank present, type uncertain",-,-,
72,Seedbank type,5.53,short-term persistent,-,-,
73,Seedbank type,5.53,transient,-,-,
74,Maximum seedbank density (m2),5.54,1170,-,-,
75,Minimum seedbank density (m2),5.55,24,-,-,
76,Mean seedbank density (m2),5.56,358.8,-,-,
77,Flower colour,5.58,blue-violet,,,
78,Petal no,5.59,5,,,
79,Petal (sepal) size (cm),5.6,0.625,0.5-0.75,,
80,Stigma number,5.61,1,,,
81,Stamen number,5.62,5,,,
82,Sepal number,5.63,5,,,
83,Carpel/Style number,5.64,1,,,
84,Inflorescence type,5.65,solitary,,"axillary, from basal rosette",
85,Physical defences on leaves,6.02,hairy,-,-,
86,Physical defences on flowers/fruits,6.04,hairy,,,
87,Rarity Status,7.02,Present,,,
88,Change Index,7.03,-0.46,,,
89,Biome,7.04,Temperate,,,
90,Eastern Limit,7.05,Euro-Siberian,,,
91,Continentality,7.06,Not continental,,,
