,Name,Number,Value,Modifier,Notes,Subspecies
0,Soil nutrients,1.01,infertile,-,-,
1,Salinity,1.05,salt-affected,-,-,
2,Soil pH: 1. extreme maximum,1.06,8.3,-,-,
3,Soil pH: 2. extreme minimum,1.07,3.7,-,-,
4,Soil pH: 3. typical maximum,1.08,6.8,-,-,
5,Soil pH: 4. typical minimum,1.09,4.7,-,-,
6,Shade,1.1,deep,-,-,
7,Shade,1.1,light,-,-,
8,Shade,1.1,mid,-,-,
9,Altitude: 1. maximum recorded (m),1.12,1021,-,-,
10,Altitude: 2. minimum recorded (m),1.13,0,-,-,
11,Altitude: 4. typical minimum (m),1.14,0,-,-,
12,Status,2.01,native,-,-,
13,Typical abundance where naturally occurring,2.02,frequent,-,-,
14,Dynamics,2.03,declining,probably,-,
15,Range: 3. continents where native,2.11,Africa,-,-,
16,Range: 3. continents where native,2.11,Europe,-,-,
17,SN Index,2.13,3.95,-,-,
18,EW Index,2.14,4.64,-,-,
19,number of European countries in which native,2.17,29,-,-,
20,Stems: 1. woodiness,3.01,non-woody,-,-,
21,Stems: 2. support,3.02,decumbent,-,-,
22,Height: 3. typical maximum (cm),3.05,40,-,-,
23,Height: 4. typical minimum (cm),3.06,2,-,-,
24,Spread,3.07,height < width,-,-,
25,Heterophylly,3.08,none,-,-,
26,Leaf shape: 1. type,3.09,simple,-,-,
27,Leaf shape: 2. outline,3.1,crenate,-,-,
28,Leaf shape: 3. pointed/round,3.11,pointed,-,-,
29,Leaf shape: 3. pointed/round,3.11,rounded,-,-,
30,Leaf shape: 4. length versus breadth,3.12,1-3 times as long as wide,-,-,
31,Leaf shape: 5. leaf base,3.13,cordate,-,-,
32,Leaf shape: 6. petiole,3.14,petiolate,-,-,
33,Leaf area (cm2),3.17,10-100,-,-,
34,Leaf longevity: 1. type,3.22,evergreen,-,-,
35,Root depth: 2. depth (cm),3.26,0-10,-,-,
36,Fine root diameter (um),3.27,150-200,-,-,
37,Seedling growth rate - maximum (/d),4.01,0.093,-,-,
38,Photosynthetic pathway,4.02,C3,-,-,
39,Heavy metal resistance,4.05,none,-,-,
40,Carnivory,4.06,does not kill insects,-,-,
41,Nutrition,4.07,autotrophic,-,-,
42,Rgr max,4.12,0.65,�0.07,,
43,rgr,4.13,0.65,�0.07,,
44,Life-form,5.01,hemicryptophyte,-,-,
45,Longevity of stems (yrs),5.02,<1,-,-,
46,Vegetative reproduction/persistence: 1. method,5.05,root buds,-,-,
47,Flowering time: 1. earliest month,5.07,4,-,-,
48,Flowering time: 2. latest month,5.08,6,-,-,
49,Flowering time: 3. peak month,5.09,4,-,-,
50,Pollen: 2. diameter (um),5.13,37,-,-,
51,Pollen vector,5.15,insect,-,-,
52,Dicliny,5.16,hermaphrodite,-,-,
53,Dichogamy,5.17,homogamous,-,-,
54,Fertilization,5.19,normally cross,-,-,
55,Cleistogamy,5.2,some cleistogamous flowers,-,-,
56,Incompatibility systems,5.22,none,-,-,
57,Chromosome number(s): 1. number,5.25,35,,-,
58,Chromosome number(s): 1. number,5.25,40,-,-,
59,Chromosome number(s): 1. number,5.25,45,,-,
60,Chromosome number(s): 1. number,5.25,46,,-,
61,Chromosome number(s): 1. number,5.25,47,,-,
62,2C DNA content (pg),5.26,2.7,-,-,
63,Appendages on dispersal unit,5.27,elaiosome,-,-,
64,Time of seed dispersal (season),5.28,summer,-,-,
65,Dispersule size - length of longest axis (mm),5.3,1.9,seed,-,
66,Seed size - length of longest axis (mm),5.31,1.9,seed,-,
67,Seed weight: 3. mean (mg),5.34,1.0,-,-,
68,Seed weight: 3. mean (mg),5.34,1.3,,,
69,Seed production: 2. typical range (/flower),5.36,10-100,c. 20,-,
70,Dispersal agent,5.38,ants,-,-,
71,Dispersal agent,5.38,explosive mechanism,-,-,
72,Time of germination (season),5.39,spring,-,-,
73,Germination requirements 1. chilling,5.45,absolute,-,-,
74,Germination type,5.48,epigeal,-,-,
75,Normal method of propagation,5.52,seed and vegetative,-,-,
76,Seedbank type,5.53,"seedbank present, type uncertain",-,-,
77,Seedbank type,5.53,transient,-,-,
78,Maximum seedbank density (m2),5.54,191,-,-,
79,Minimum seedbank density (m2),5.55,7,-,-,
80,Mean seedbank density (m2),5.56,78.5,-,-,
81,Flower colour,5.58,blue-violet,,"spur: white, cream, pale violet, notched",
82,Petal no,5.59,5,,,
83,Petal (sepal) size (cm),5.6,0.9,0.7-1.1,,
84,Stigma number,5.61,1,,,
85,Stamen number,5.62,5,,,
86,Sepal number,5.63,5,,,
87,Carpel/Style number,5.64,1,,,
88,Inflorescence type,5.65,solitary,,"axillary, from basal rosette",
89,Physical defences on stems,6.03,glabrous,-,-,
90,Physical defences on stems,6.03,soft hairs,-,-,
91,Rarity Status,7.02,Present,,,
92,Change Index,7.03,1.07,,,
93,Biome,7.04,Temperate,,,
94,Eastern Limit,7.05,European,,,
95,Continentality,7.06,Not continental,,,
96,Northern Limit in Britain,7.07,No,,,
