,Name,Number,Value,Modifier,Notes,Subspecies
0,Water nutrients,1.01A,eutrophic,-,-,
1,Salinity,1.05,brackish,-,-,
2,Shade,1.10,none,-,-,
3,Altitude: 2. minimum recorded (m),1.13,0,-,-,
4,Flow,1.15A,nil,-,-,
5,Status,2.01,native,-,-,
6,Typical abundance where naturally occurring,2.02,scattered,-,-,
7,First historical record: 1. date,2.04,1866,-,-,
8,First historical record: 2. site,2.05,"Staines, Middx.",-,-,
9,Range: 3. continents where native,2.11,Africa,-,-,
10,Range: 3. continents where native,2.11,Asia,-,-,
11,Range: 3. continents where native,2.11,Australasia,-,-,
12,Range: 3. continents where native,2.11,Europe,-,-,
13,Range: 3. continents where native,2.11,North America,-,-,
14,Range: 3. continents where native,2.11,South America,-,-,
15,SN Index,2.13,.65,-,-,
16,EW Index,2.14,4.38,-,-,
17,number of European countries in which native,2.17,18,-,-,
18,Stems: 1. woodiness,3.01,non-woody,-,-,
19,Leaf position,3.02A,floating,-,-,
20,Spread,3.07,not applicable,aquatic,-,
21,Heterophylly,3.08,not applicable,no leaves,-,
22,Leaf shape: 1. type,3.09,absent,-,-,
23,Leaf shape: 2. outline,3.10,not applicable,no leaves,-,
24,Leaf shape: 3. pointed/round,3.11,not applicable,no leaves,-,
25,Leaf shape: 4. length versus breadth,3.12,not applicable,no leaves,-,
26,Leaf shape: 5. leaf base,3.13,not applicable,no leaves,-,
27,Leaf shape: 6. petiole,3.14,not applicable,no leaves,-,
28,Leaf shape: 7. minimum petiole length (mm),3.15,not applicable,no leaves,-,
29,Leaf shape: 8. maximum petiole length (mm),3.16,not applicable,no leaves,-,
30,Leaf area (cm2),3.17,<0.1,-,-,
31,Stomata: 1. surfaces present,3.19,upper,-,-,
32,Stomata: 3. density on upper surface (no/mm2),3.21,25,calculated from numbers and mean frond areas,-,
33,Root system,3.24,absent,-,-,
34,Photosynthetic pathway,4.02,C3,-,-,
35,Heavy metal resistance,4.05,none,-,-,
36,Carnivory,4.06,does not kill insects,-,-,
37,Nutrition,4.07,autotrophic,-,-,
38,Life-form,5.01,hydrophyte,-,-,
39,Vegetative reproduction/persistence: 1. method,5.05,buds,-,-,
40,Vegetative reproduction/persistence: 2. pattern,5.06,ramets not connected,-,-,
41,Pollen: 2. diameter (um),5.13,16,-,-,
42,Dicliny,5.16,monoecious,-,-,
43,Fertilization,5.19,apomictic,-,-,
44,Chromosome number(s): 1. number,5.25,50,,-,
45,2C DNA content (pg),5.26,3.27,,,
46,Flower colour,5.58,green,,,
47,Petal no,5.59,0,,,
48,Petal (sepal) size (cm),5.60,0,,,
49,Stigma number,5.61,1,,,
50,Stamen number,5.62,1,2,,
51,Sepal number,5.63,0,,,
52,Carpel/Style number,5.64,0,,,
53,Inflorescence type,5.65,solitary,,,
54,Rarity Status,7.02,Scarce,,,
55,Change Index,7.03,-0.03,,,
56,Biome,7.04,Southern Temperate,,,
57,Eastern Limit,7.05,Euro-Siberian,,,
58,Continentality,7.06,Not continental,,,
59,Northern Limit in Britain,7.07,No,,,
60,"Northern European Limit (Lat,5C band)",7.08,55-60,,,
61,"Southern European Limit (Latitude, 5C band)",7.09,<45,,,
62,Southern European Limit,7.10,No,,,
63,January mean temperature,7.11,4.4,,,
64,July mean temperature,7.12,17,,,
65,Annual precipitation,7.13,752,,,
66,Ellenberg Indicator: Light,7.14,7,,,
67,Ellenberg Indicator: Light,7.14,7,,Data calculated for the Czech Republic,
68,Ellenberg Indicator: Light,7.14,7,,Data calculated for Europe,
69,Ellenberg : Moisture,7.15,11,,,
70,Ellenberg : Moisture,7.15,11,,Data calculated for the Czech Republic,
71,Ellenberg : Moisture,7.15,11,,Data calculated for Europe,
72,Ellenberg: pH,7.16,7,,,
73,Ellenberg: pH,7.16,7,,Data calculated for the Czech Republic,
74,Ellenberg: pH,7.16,7,,Data calculated for Europe,
75,Ellenberg Indicator: Nitrogen,7.17,6,,Data calculated for Europe,
76,Ellenberg Indicator: Nitrogen,7.17,7,,,
77,Ellenberg Indicator: Nitrogen,7.17,7,,Data calculated for the Czech Republic,
78,Ellenberg Indicator: Salt,7.18,0,,,
79,Ellenberg Indicator: Salt,7.18,0,,Data calculated for Europe,
80,Ellenberg Indicator: Salt,7.18,1,,Data calculated for the Czech Republic,
81,Life Form: normal state,7.19,Perennial hydrophyte,,,
82,Clonality: normal state,7.21,Fragmenting as part of normal growth,,,
83,Ellenberg: Temperature,7.23,6,,Data calculated for the Czech Republic,
84,Ellenberg: Temperature,7.23,6,,Data calculated for Europe,
85,Ellenberg: Continetality,7.24,5,,Data calculated for Europe,
