species|Leaf shape: 5. leaf base|First historical record: 1. date|After-ripening requirement|Root depth: 1. type|Root persistence|Stomata: 1. surfaces present|Sepal number|Range: 3. continents where native|Range: 2. european countries where introduced|Age at first flowering|Incompatibility systems|Photosynthetic pathway|Vegetative reproduction/persistence: 2. pattern|Ellenberg: Temperature|Soil pH: 2. extreme minimum|Leaf lamina thickness: 1. range|Seed viability|Drought Tolerance|Height: 4. typical minimum (cm)|Chromosome number(s): 1. number|Maximum seedbank density (m2)|Change Index|Heteromorphy|Flow|Soil moisture: 3. supply|Lemma|Minimum temperature germination|Ellenberg: Continetality|Seed/ovule ratio|Cleistogamy|Dispersal agent|Height: 2. extreme minimum (cm)|Response to vertebrate grazing|Soil moisture: 1. water table|Normal method of propagation|Stomata: 3. density on upper surface (no/mm2)|Mono/poly-carpic|Longevity of stems (yrs)|Seedbank type|Petal no|Dynamics|Max. Stem Diameter (mm)|Pollen viability|Leaf shape: 6. petiole|Flowering time: 2. latest month|Germination requirements 3. temperature fluctuation|Petal (sepal) size (cm)|Mature leaf N concentration (mg/g)|rgr|Ellenberg Indicator: Salt|Altitude: 1. maximum recorded (m)|Seed production: 2. typical range (/flower)|Pollen vector|Status|Life Form: normal state|Soil pH: 1. extreme maximum|Exposure|Southern European Limit (Latitude, 5C band)|Response to drought|Ellenberg Indicator: Light|Northern Limit in Britain|Ellenberg Indicator: Nitrogen|Annual seed dispersal|Continentality|Dispersule size - length of longest axis (mm)|Nutrition|Stems: 2. support|Height: 3. typical maximum (cm)|Seed weight: 1. maximum (mg)|Minimum temperature at which 50% seeds germinate|Seedbank density: recorded values|Time of seed dispersal (season)|Water pH: 4. typical minimum|EW Index|Life-form|First historical record: 2. site|Leaf shape: 8. maximum petiole length (mm)|Ellenberg: pH|Inflorescence type|Ellenberg : Moisture|number of European countries in which native|July mean temperature|Heterophylly|Fine root diameter (um)|Altitude: 2. minimum recorded (m)|Leaf longevity: 2. number of months|Maximum depth of leaves|Maximum temperature of germination|2C DNA content (pg)|SN Index|British distribution (post 1949 records)|Seedbank longevity|Germination requirements 2. light|Mean seedbank density (m2)|Vegetative reproduction/persistence: 1. method|Dicliny|Germination type|Fertilization|Clonality: normal state|Rarity Status|Seed production: 1. maximum (/flower)|Mature leaf P concentration (mg/g)|Fossil record: 1. earliest record|Root hairs|Leaf shape: 1. type|Stamen number|Leaf shape: 4. length versus breadth|Root depth: 2. depth (cm)|Glume, upper|Photoperiodism: 1. type|Maximum temperature at which 50% seeds germinate|Conservation Status|Pollen: 1. mono/di-morphic|Heavy metal resistance|Life Form: less frequent state|Seedling growth rate - maximum (/d)|Physical defences on leaves|Medicinal Use|Response to frost (non-woody tissue)|Physical defences on stems|Leaf position|Southern European Limit|Flower colour|Time of germination (season)|Clonality: less frequent state|Auricle|Water nutrients|Seed production: 3. typical range (/plant)|Mean Spore Diameter (Pteridophytes) (µ m )|Soil pH: 4. typical minimum|Northern European Limit (Lat,5C band)|Stomata: 2. density on lower surface(no/mm2)|Flowering time: 1. earliest month|Water pH: 3. typical maximum|Leaf folding|Pollen: 2. diameter (um)|Spread|Germination requirements 1. chilling|Leaf area (cm2)|Carpel/Style number|Waterlogging tolerance|Response to frost (seedlings)|Water pH: 2. extreme minimum|Physical defences on flowers/fruits|Soil nutrients|Glume lower|Pollen/ovule ratio|Seed size - length of longest axis (mm)|Stomata 4: density, surface indeterminate (no/mm2)|Water pH: 1. extreme maximum|Mean plant dry mass(mg)|Leaf shape: 2. outline|Appendages on dispersal unit|Leaf shape: 7. minimum petiole length (mm)|Stigma number|Leaf shape: 3. pointed/round|Carnivory|Range: 4. continents where introduced|Height 5: Mean (cm)|Soil pH: 3. typical maximum|Photoperiodism: 2. threshold value (h)|Altitude: 4. typical minimum (m)|Palea|Leaf longevity: 1. type|Shade|Annual precipitation|Seed weight: 3. mean (mg)|Seed weight: 2. minimum (mg)|January mean temperature|Ligule|Flowering time: 3. peak month|Stems: 1. woodiness|Root hair length (mm)|Root system|Height: 1. extreme maximum (cm)|Minimum seedbank density (m2)|Shade tolerance|Range: 1. european countries where native|Dichogamy|Inbreeding (%)|Rgr max|Biome|Soil moisture: 2. drainage|Physical defences on buds|Salinity|Typical abundance where naturally occurring|Fossil record: 2. earliest postglacial record|Eastern Limit|id
abies_alba|parallel sided|1603|nan|nan|nan|lower, lower|nan|Eu|nan|25-30, >20|nan|nan|no ramets|5, 5|nan|0.2-0.5|nan|1.81|1500|24|partial|nan|nan|nan|nan|nan|nan|4|nan|nan|nan|nan|nan|nan|seed|nan|polycarpic|100-500, 100-500|nan|nan|nan|1500|nan|sessile|6|nan|nan|10-20|nan|0, 0|nan|2|wind|nan|nan|nan|nan|nan|nan|-3, 3|nan|6x, nan|mast|nan|32|autotrophic|self supporting|2500, 5500|nan|nan|nan|autumn|nan|nan|phanerophyte|vc 55|nan|5x, nan|nan|6x, nan|nan|nan|none|nan|nan|nan|nan|nan|33.1|nan|nan|nan|nan|nan|nan|monoecious|nan|nan|nan|nan|nan|2-3|nan|nan|simple|nan|>3 times as long as wide|nan|nan|nan|nan|nan|nan|nan|nan|nan|glabrous|nan|resistant|soft hairs|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|53, 64|5|nan|nan|124.8|ht >> width|nan|0.1-1|nan|1.02|nan|nan|glabrous|fertile|nan|nan|12|nan|nan|nan|entire|wings|0|nan|emarginate, rounded|does not kill insects|nan|nan|nan|nan|nan|nan|evergreen|nan|nan|50, 60.2|nan|nan|nan|5|woody|nan|nan|5500|nan|4.6|It, Au, He, Fr, Ge,|nan|nan|nan|nan|free draining|glabrous|nan|nan|nan|nan|260010060
abies_grandis|nan|1831|nan|nan|nan|lower|nan|North America|nan|5-20 yrs, >20|nan|nan|nan|nan|5|nan|many non-viable|2.33|nan|24|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|wind|nan|nan|periodically high|seed|nan|polycarpic|100-500, 400|nan|nan|nan|nan|nan|subsessile|7|nan|nan|10-20|nan|nan|1830|100-1000|wind|nan|nan|nan|nan|nan|resists|nan|nan|nan|irregular|nan|200|autotrophic|self-supporting|5400, 6000|nan|nan|nan|autumn|nan|nan|phanerophyte|vc 16|nan|nan|nan|nan|0|nan|None|nan|nan|>24|nan|nan|nan|nan|nan|3-12|partial|nan|nan|monoecious|nan|nan|nan|nan|nan|2|nan|nan|simple|nan|>3 times as long as wide|>100|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|1000-10000|nan|nan|nan|nan|5|nan|nan|nan|height > width|partial|1.5|nan|1.57|nan|nan|nan|fertile|nan|nan|8|nan|nan|nan|entire|wings|nan|nan|emarginate|nan|nan|nan|nan|nan|200|nan|evergreen|nan|nan|21.23, 28.1|nan|nan|nan|6|woody|nan|tap|nan|nan|4.01|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|260010020
abies_nordmanniana|parallel sided|1848|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|no ramets|nan|nan|nan|nan|1|1500|24|partial|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|seed|nan|polycarpic|nan|nan|nan|nan|nan|nan|sessile|nan|nan|nan|nan|nan|nan|nan|2|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|17|autotrophic|self-supporting|2500, 4000|nan|nan|nan|autumn, wind|nan|nan|nan|vc 22|nan|nan|nan|nan|nan|nan|none|nan|nan|nan|nan|nan|35.2|nan|nan|nan|nan|nan|nan|monoecious|nan|nan|nan|nan|nan|nan|nan|nan|simple|nan|>3 x as long as wide|nan|nan|nan|nan|nan|nan|nan|nan|nan|glabrous|nan|hardy, resistant|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|ht >> width|partial|nan|nan|1.5|nan|nan|glabrous|fertile, fertile|nan|nan|8|nan|nan|nan|entire|wings|0|nan|emarginate|does not kill insects|nan|nan|nan|nan|nan|nan|evergreen|nan|nan|82.8|nan|nan|nan|nan|woody|nan|nan|4400|nan|4.5|nan|nan|nan|nan|nan|free draining, free draining|glabrous|nan|nan|nan|nan|260010050
abies_procera|parallel sided|nan|none|nan|nan|nan|nan|North America|nan|> 20 yrs, >20|nan|nan|monoecious, no ramets|nan|nan|nan|some non-viable|2.5|nan|nan|partial|nan|nan|nan|nan|nan|nan|nan|nan|nan|wind|5|nan|nan|seed|nan|polycarpic|> 500, >500|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|mast|nan|37|autotrophic|self-supporting|15|nan|nan|nan|autumn|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|none|nan|nan|nan|nan|nan|34.4|nan|nan|3-12 months|nan|nan|nan|nan|nan|nan|nan|nan|24|nan|nan|nan|simple|nan|> 3 times as long as broad|nan|nan|nan|nan|nan|nan|nan|nan|nan|glabrous|nan|resistant|hairy|nan|nan|nan|spring|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|ht >> width, ht >> width|nan|nan|nan|1|sensitive|nan|glabrous|fertile|nan|nan|12|nan|nan|nan|nan|wings|0|nan|rounded|does not kill insects|nan|nan|nan|nan|nan|nan|sessile|mid|nan|33.6, 34.9|nan|nan|nan|nan|woody|nan|nan|47|nan|2.45|nan|nan|nan|nan|nan|free draining|glabrous|nan|nan|nan|nan|260010010
abutilon_theophrasti|cordate|1596|nan|shallow|<1|nan|5|Asia, Europe, N.Africa, S.W.Asia, W. Palearctic|Bu,Ca,Da,Ga,Ge,Gr,Hu,It,Ho,Po,Lu,Rs,Sl, Sp,He,Ur, France, Portugal, Spain|6-12 wks|nan|nan|no ramets|8, nan|nan|nan|nan|nan|nan|42|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|seed|nan|polycarpic|nan|nan|5|nan|nan|nan|petiolate|10|nan|1|nan|nan|1, nan|nan|10-100|nan|nan|nan|nan|nan|nan|nan|8, nan|nan|7, nan|nan|nan|3.2|autotrophic|self|100, 120|0.009|nan|nan|nan|nan|nan|therophyte|nan|700|7, nan|solitary|5, nan|nan|nan|none|nan|nan|3-6|nan|nan|2.8|nan|nan|>20|nan|nan|nan|nan|nan|cross and self|nan|nan|nan|<1|nan|nan|simple|numerous|length=width|10|nan|nan|nan|nan|nan|nan|nan|nan|soft hairs|nan|nan|nan|nan|nan|yellow|nan|nan|nan|nan|1000-10000, 5000-10000|nan|nan|nan|nan|7|nan|nan|58|height = width|nan|385|numerous|nan|nan|nan|nan|fertile, fertile|nan|nan|3.2|nan|nan|nan|toothed|nan|nan|numerous|acuminate|does not kill insects|Asia (trop), North America, East Asia|nan|nan|nan|nan|nan|aestival|light, none|nan|9.0, 9.58|nan|nan|nan|8|woody at base|nan|tap, tap|200|nan|nan|nan|nan|nan|nan|nan|free-draining|soft hairs|nan|nan|nan|nan|1060090010
acacia_melanoxylon|nan|nan|absolute|shallow|nan|both|5|Australia|nan|5-20 yrs|nan|nan|patch forming|nan|nan|nan|high|nan|nan|26|nan|nan|nan|nan|nan|nan|15, 20|nan|nan|nan|birds, water|nan|decreases|nan|nan|nan|polycarpic|10-100, 10-100, 100-500|nan|5|nan|nan|nan|petiolate|nan|nan|1|nan|nan|nan|1500|8|insects|nan|nan|nan|nan|nan|wilts|nan|nan|nan|nan|nan|nan|autotrophic|self-supporting|1500, 3067|nan|nan|nan|nan|nan|nan|phanerophyte|nan|nan|nan|raceme|nan|nan|nan|developmental|nan|0|nan|nan|25, 35|1.5|nan|nan|>20 yrs|nan|nan|suckers|hermaphrodite|nan|nan|nan|nan|14|nan|nan|nan|compound, entire|>10|> 3 times as long as wide|nan|nan|nan|nan|nan|nan|nan|nan|nan|glabrous|nan|sensitive|glabrous|nan|nan|cream|nan|nan|nan|nan|nan|nan|6.5|nan|nan|nan|nan|nan|nan|ht > width|nan|nan|1|nan|nan|nan|glabrous|fertile, infertile|nan|nan|nan|nan|nan|nan|entire|nan|nan|1|pointed|does not kill insects|Asia, Africa, America S, America C, Europe, India, Oceania|nan|7.5|nan|nan|nan|evergreen|nan|nan|14, 14.6, 6|nan|nan|nan|nan|woody|nan|nan|4000|nan|nan|nan|nan|14|nan|nan|free-draining, slow-draining|glabrous|fresh, salt-affected|nan|nan|nan|810040070
acaena_anserinifolia|nan|nan|nan|nan|nan|nan|4|Australasia|nan|nan|nan|C3|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|0|nan|nan|nan|nan|nan|nan|0|nan|nan|nan|nan|nan|nan|naturalised|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|autotrophic|procumbent|15|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|head|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|hermaphrodite|nan|nan|nan|nan|nan|nan|nan|nan|compound|2|nan|nan|nan|nan|nan|nan|nan|none|nan|nan|nan|nan|nan|nan|nan|nan|green|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|1|nan|nan|nan|nan|infertile|nan|nan|nan|nan|nan|nan|nan|nan|nan|1|nan|does not kill insects|nan|nan|nan|nan|nan|nan|nan|none|nan|0.822|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|800150010
acaena_anserinifolia_x_inermis|nan|nan|nan|nan|nan|nan|4|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|0|nan|nan|nan|nan|nan|nan|0|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|head|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|2|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|green|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|2|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|1|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|920004325
acaena_inermis|nan|nan|nan|nan|nan|nan|4|Australasia|nan|nan|nan|nan|mat forming|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|intermittant|nan|nan|nan|nan|nan|nan|nan|nan|periodically high|nan|nan|nan|nan|long term persistent|0|nan|nan|nan|petiolate|nan|nan|0|nan|0.21|nan|nan|1|nan|nan|nan|nan|nan|nan|tolerant|nan|nan|nan|nan|nan|nan|Autrotrophic|decumbent|6|nan|nan|nan|nan|nan|nan|chamaephyte|nan|nan|nan|head|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|rhizome|nan|nan|nan|nan|nan|2|nan|nan|nan|compound|2|>3 times as long as wide|nan|nan|nan|nan|nan|nan|nan|nan|nan|hairy|nan|nan|glabrous, hairy|nan|nan|green|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|2|nan|nan|nan|glabrous, hairy, spines, spines|nan|nan|nan|nan|nan|nan|nan|dentate|nan|nan|1|round|does not kill insects|nan|nan|nan|nan|nan|nan|nan|mid, none|nan|3.77|nan|nan|nan|nan|woody|nan|fibrous|nan|nan|nan|nan|nan|nan|nan|nan|free draining|nan|nan|nan|nan|nan|920002530
acaena_novae_zelandiae|cuneate, rounded, truncate|1901|nan|nan|nan|nan|4|Australasia|nan|nan|none|C3|nan|nan|5.5|nan|high|nan|2|42|nan|nan|nan|nan|nan|nan|nan|nan|nan|nan|carried by birds, carried by mammals, wind|nan|nan|nan|nan|nan|nan|nan|nan|0|nan|nan|nan|petiolate|7|nan|0|nan|nan|0|nan|1|nan|naturalised|Chamaephyte|8.6|nan|nan|nan|8|No|3|nan|Not continental|nan|autotrophic|procumbent|15|nan|nan|nan|autumn, summer|nan|3.57|chamaephyte|Yarner, Devon|nan|6|head|3|nan|15|none|nan|0|nan|nan|nan|nan|2.85|nan|nan|absolute|nan|rooting stems, stolons|hermaphrodite|epigeal|cross and self|Extensively creeping and rooting at nodes|nan|2|nan|nan|nan|compound|2|>3 times as long as wide|0-10|nan|nan|nan|nan|nan|none|nan|nan|glabrous, soft hairs|nan|sensitive|soft hairs|nan|No Data|green|autumn, spring|nan|nan|nan|1000-10000|nan|nan|nan|nan|6|nan|nan|nan|height < width|partial|nan|1|nan|nan|nan|spines|nan|nan|nan|2|nan|nan|nan|toothed|hooks|nan|1|rounded|does not kill insects|Europe|nan|nan|nan|nan|nan|evergreen|light, none|831|0.92, 1.79|nan|3.8|nan|nan|woody|nan|nan|nan|nan|nan|nan|markedly protogynous|nan|nan|Mediterranean|free-draining|nan|nan|nan|nan|Hyperoceanic|800150019
